Finnish,Greek,Russian,Sanskrit,German,Nahuatl,Spanish,Italian,French,Irish,English,Chinese,Vietnamese,Japanese,Korean,Tibetan,Thai,Indonesian,Turkish,Arabic,Hebrew,Swahili
maistaa,δοκιμάσω,пробовать,रसति,schmecken,paloa,probar,assaggiare,goûter,blais,taste,尝,nếm,味わう,맛보다,མྱོད,ลิ้มรส,merasakan,tatmak,ذاق,טעם,onja
sanoa,λέω,сказать,वदति,sagen,ihtoa,decir,dire,dire,abair,say,说,nói,言う,말하다,ལབ,พูด,mengatakan,söylemek,قال,אמר,sema
tietää,γνωρίζω,знать,वेत्ति,wissen,mati,saber,sapere,savoir,a fhios a bheith agat,know,知,biết,知る,알다,ཤེས,รู้,mengetahui,bilmek,عرف,ידע,jua
oppia,μαθαίνω,учиться,जानाति,lernen,machtia,aprender,imparare,apprendre,foghlaim,learn,学习,học,学ぶ,배우다,སློབ་སྦྱོད་བྱེད,เรียนรู้,mempelajari,öğrenmek,تعلم,למד,jifunza
kysyä,ρωτάω,спросить,पृच्छति,fragen,tlatlania,preguntar,chiedere,demander,fiafraigh,ask,问,hỏi,聞く,묻다,སྐད་ཆ་དྲིས,ถาม,bertanya,sormak,طلب,שאל,uliza
vastata,απαντώ,отвечать,अभिभाषते,antworten,nanquilia,contestar,rispondere,répondre,freagair,answer,答,trả lời,答える,대답하다,ལན་རྒྱག,ตอบ,menjawab,cevaplamak,جواب,ענה,jibu
kirjoittaa,γράψω,написать,लिखति,schreiben,tlacuiloa,escribir,scrivere,écrire,scríobh,write,写,viết,書く,쓰다,འབྲི,เขียน,menulis,yazmak,كتب,כתב,andika
lukea,διαβασω,читать,पठति,lesen,amoxitoa,leer,leggere,lire,léigh,read,读,đọc,読む,읽다,ཀློག,อ่าน,membaca,okumak,قرأ,קרא,soma
syödä,τρώω,есть,खादति,essen,cua,comer,mangiare,manger,ith,eat,吃,ăn,食べる,먹다,ཟ,กิน,makan,yemek,أكل,אכל,la
juoda,πίνω,пить,पिबति,trinken,i,beber,bere,boire,ól,drink,喝,uống,飲む,마시다,འཐུང,ดื่ม,minum,içmek,شرب,שתה,nywa
olla,έχω,иметь,भजति,haben,piya,tener,avere,avoir,bí ag,have,有,có,有る,있다,ཡོད,มี,memiliki,sahip olmak,امتلك,יש,wa na
pitää,κρατάω,держать,धरति,halten,tlatzitzquia,sostener,tenere,tenir,coinnigh,hold,持,giữ,持つ,들다,ཟིན,เก็บ,memegang,tutmak,مسك,החזיק,shikilia
tuoda,φέρνω,принести,नयति,bringen,hualcui,llevar,portare,apporter,beir,bring,带,mang theo,連れる,가져오다,བཀྱག,นำ,membawa,getirmek,جلب,הביא,leta
saada,παίρνω,получить,आप्नोति,bekommen,icnopilhuia,obtener,ottenere,recevoir,faigh,get,得,được,得る,얻다,ཐོབ,รับ,mendapatkan,almak,حصل,קיבל,pata
antaa,δίνω,дать,ददाति,geben,maca,dar,dare,donner,tabhair,give,给,cho,与える,주다,སྤྲོད,ให้,memberi,vermek,أعطى,נתן,toa
lähettää,στέλνω,отправлять,प्रेषति,senden,titlani,mandar,inviare,envoyer,seol,send,送,gửi,送る,보내다,བཏང,ส่ง,mengirim,göndermek,أرسل,שלח,tuma
laittaa,βάζω,положить,दधाति,stellen,contlalia,poner,mettere,mettre,cuir,put,放,đặt,置く,놓다,བཞག,นำ,menempatkan,koymak,وضع,שם,weka
jättää,αφήνω,оставить,त्यजति,hinterlassen,cahuilia,dejar,lasciare,laisser,fág,leave,留,để,残す,두다,བཞག,ปล่อย,meninggalkan,bırakmak,ترك,עזב,acha
ottaa,παίρνω,брать,हरति,nehmen,cui,tomar,prendere,prendre,tóg,take,拿取,đi,取る,가지다,ཞུ,ใช้,mengambil,almak,أخذ,לקח,chua
varastaa,κλέβω,украсть,चोरयति,stehlen,ichtequi,robar,rubare,voler,goid,steal,偷窃,ăn cắp,盗む,훔치다,རྐུ་མ་རྐུ,ขโมย,mencuri,çalmak,سرق,גנב,iba
lyödä,χτυπάω,ударить,निहन्ति,schlagen,tlatzotzona,golpear,colpire,frapper,bualadh,hit,打,đánh,打つ,때리다,གཞུས་པ,ตี,memukul,vurmak,ضرب,פגע,piga
potkaista,κλωτσάω,пинать,पादप्रहारकरोति,treten,telicza,patear,calciare,donner un coup de pied,ciceáil,kick,踢,đá,蹴る,차다,རྡོག་རྒྱག་གཞུས,เตะ,menendang,tekmelemek,رفس,בעט,piga teke
hieroa,τρίβω,тереть,घट्टते,reiben,xacualoa,frotar,strofinare,frotter,cuimil,rub,摩擦,chà xát,擦る,비비다,ཕུར་ཕུར་བཏང,ถู,menggosok,ovalamak,فرك,שפשף,sugua
kääntyä,γυρίζω,превратить,वर्तते,drehen,cuepa,girar,girare,tourner,cas,turn,转,quay,回る,돌다,སྐོར,ลี้ยว,berbalik,çevirmek,دار,סבב,geuka
työntää,σπρώχνω,толкать,नुदति,drücken,topehua,empujar,spingere,pousser,brúigh,push,推,đẩy,押す,밀다,སྦུད་རྒྱག་བཏང,ผลักดัน,mendorong,itmek,دفع,דחף,shinikiza
vetää,τραβάω,тянуть,कर्षति,ziehen,tilana,tirar,tirare,tirer,tarraing,pull,拉,kéo,引く,당기다,འཐེན,ดึง,menarik,çekmek,سحب,משך,vuta
puristaa,ζουλάω,сжимать,मृद्नाति,quetschen,patzoa,apretar,spremere,serrer,fáisc,squeeze,挤,vắt,絞る,짜다,མནན,บีบ,memeras,sıkmak,عصر,לחץ,kamua
pestä,πλένω,мыть,क्षलयति,waschen,paca,lavar,lavare,laver,nigh,wash,洗涤,giặt,洗う,씻다,ཁྲུས,ล้าง,mencuci,yıkamak,غسل,שטף,osha
pyyhkiä,σκουπίζω,вытирать,मार्ष्टि,wischen,pohpohua,limpiar,pulire,essuyer,cuimil,wipe,擦拭,lau,拭く,닦다,ཕྱིས,เช็ด,menghapus,silmek,مسح,ניגב,ifuta
raapia,ξύνω,царапать,लिखति,kratzen,huahuana,arañar,graffiare,gratter,tochais,scratch,抓,gãi,掻く,긁다,སྦར་བྲད་བརྒྱབ,เกา,menggaruk,kaşımak,خدش,סרט,anza
leikata,κόβω,резать,कृन्तति,schneiden,tlacotona,cortar,tagliare,couper,gearr,cut,切割,cắt,切る,베다,གཏུབ,ตัด,memotong,kesmek,قص,חתך,kata
halkaista,χωρίζω,разделять,भिनत्ति,spalten,xeloa,dividir,dividere,fendre,scoilt,split,分开,chẻ,分ける,가르다,འགས,ผ่า,membagi,ayırmak,شق,פיצל,pasua
pistää,μαχαιρώνω,колоть,विधति,stechen,mina,apuñalar,pugnalare,poignarder,sáigh,stab,刺,đâm,刺す,찌르다,གྲི་འཛུགས,แทง,menusuk,bıçaklamak,طعن,דקר,piga
nauraa,γελώ,смеяться,स्मयते,lachen,huetzca,reír,ridere,rire,déan gáire,laugh,笑,cười,笑う,웃다,གད་མོ་ཤོར,หัวเราะ,tertawa,gülmek,ضحك,צחק,cheka
itkeä,κλαίω,плакать,रोदिति,weinen,choka,llorar,piangere,pleurer,caoin,cry,哭,khóc,泣く,울다,ངུ,ร้องไห้,menangis,ağlamak,بكى,בכה,lia
purra,δαγκώνω,кусать,दशति,beißen,tlancua,morder,mordere,mordre,bain greim as,bite,咬,cắn,噛む,물다,རྨུག,กัด,menggigit,ısırmak,عض,נשך,donoa
imeä,ρουφώ,сосать,धयति,saugen,chichina,chupar,succhiare,sucer,súigh,suck,吮吸,mút,吸う,빨다,འཇིབ,ดูด,mengisap,emmek,مص,מצץ,amwa
sylkeä,φτύνω,плевать,ष्ठीवति,spucken,chihcha,escupir,sputare,cracher,caith seile,spit,吐,nhổ,唾を吐く,뱉다,ཀྱག,ถุย,meludah,tükürmek,بزق,ירק,tema
oksentaa,ξερνώ,рвать,वमति,erbrechen,ihzotla,vomitar,vomitare,vomir,aisig,vomit,呕吐,nôn,吐く,게우다,སྐྱུག,อ้วก,memuntah,kusmak,تقيأ,הקיא,tapika
puhaltaa,φυσάω,дуть,वाति,blasen,pitza,soplar,soffiare,souffler,séid,blow,吹,thổi,吹く,불다,ཕུ་རྒྱག,พัด,meniup,üflemek,نفخ,נשב,puliza
hengittää,αναπνέω,дышать,अनिति,atmen,ihiyotia,respirar,respirare,respirer,análaigh,breathe,呼吸,thở,息をする,쉬다,དབུགས་རྒྱག,หายใจ,bernapas,solumak,تنفس,נשם,pumua
yskiä,βήχω,кашлять,कासते,husten,tlatlaci,toser,tossire,tousser,le casacht,cough,咳,ho,咳く,깇다,གློ་རྒྱག,ไอ,batuk,öksürmek,سعل,השתעל,kohoa
haukotuttaa,χάσκω,зевать,विजिहीते,gähnen,coccamachaloa,bostezar,sbadigliare,bâiller,déan méanfach,yawn,打哈欠,ngáp,欠伸する,하품하다,ཨ་སྟོང་རྒྱག,หาว,menguap,esnemek,تثاءب,פיהק,piga miayo
heittää,ρίχνω,бросать,क्षिपति,werfen,tlaza,tirar,gettare,lancer,caith,throw,扔,ném,投げる,던지다,གཡུགས,ขว้าง,melempar,atmak,رمى,זרק,rusha
kaivaa,σκάβω,копать,खनति,graben,tataca,cavar,scavare,creuser,tochail,dig,挖掘,đào,掘る,파다,རྐོ,ขุด,menggali,kazmak,حفر,חפר,lima
sitoa,δένω,вязать,बध्नाति,binden,ilpia,atar,legare,lier,ceangail,tie,绑,buộc,結ぶ,매다,བསྡམ,ผูก,mengikat,bağlamak,ربط,קשר,funga
ommella,ράβω,шить,सीव्यति,nähen,ihtzoma,coser,cucire,coudre,fuaigh,sew,缝,may,縫う,깁다,ཚེམ་བུ་རྒྱག,เย็บ,menjahit,dikmek,خيط,תפר,shona
laskea,μετράω,считать,गणयति,zählen,pohua,contar,contare,compter,áirigh,count,数,đếm,数える,세다,གྲངས་ཀ་རྒྱག,นับ,menghitung,saymak,عد,ספר,hesabu
pitää,φοράω,носить,धरति,anziehen,quentia,vestir,indossare,porter,caith,wear,穿,mặc,着る,입다,གོན,ใส่,memakai,giymek,لبس,נשא,vaa
avata,ανοίγω,открыть,उद्घाटयति,öffnen,tlapoa,abrir,aprire,ouvrir,oscail,open,打开,mở,開く,열다,ཁ་ཕྱེ,เปิด,membuka,açmak,فتح,פתח,fungua
sulkea,κλείνω,закрыть,पिधानंकरोति,schließen,tzacua,cerrar,chiudere,fermer,dún,close,关闭,đóng,閉じる,닫다,ཁ་རྒྱག,ปิด,menutup,kapatmak,غلق,סגר,funga
aloittaa,αρχίζω,начать,आरभते,beginnen,pehua,empezar,iniziare,commencer,tosaigh,begin,开始,bắt đầu,始める,시작하다,འགོ་བཙུགས,เริ่มต้น,memulai,başlamak,بدأ,התחיל,anza
loppetta,τελειώνω,закончить,समापयति,beenden,tlami,terminar,finire,finir,críochnaigh,finish,结束,hoàn thành,終える,끝나다,ཚར,ให้เสร็จ,menyelesaikan,bitirmek,أنهى,סיים,maliza
kadottaa,χάνω,потерять,जहाति,verlieren,poloa,perder,perdere,perdre,caill,lose,失去,mất,失う,잃다,བརླགས,สูญเสีย,kehilangan,kaybetmek,خسر,אבד,poteza
etsiä,ψάχνω,искать,मार्गति,suchen,tetemolia,buscar,cercare,chercher,cuardaigh,look for,寻找,tìm kiếm,探す,찾다,བཙལ,ค้นหา,mencari,aramak,بحث,חפש,tafuta
löytää,βρίσκω,найти,विन्दति,finden,namiqui,encontrar,trovare,trouver,faigh,find,找到,tìm,見つける,찾다,བརྙེད,ค้นหา,mencari,bulmak,وجد,מצא,tafuta
muuttaa,αλλάζω,менять,परिवर्तते,ändern,patla,cambiar,cambiare,changer,athraigh,change,改变,thay đổi,変える,바꾸다,འགྱུར,เปลี่ยน,mengubah,değiştirmek,غير,שינה,badili
ostaa,αγοράζω,покупать,क्रीणाति,kaufen,cohua,comprar,comprare,acheter,ceannaigh,buy,购买,mua,買う,구매하다,ཉོ,ซื้อ,membeli,satın almak,ابتاع,קנה,nunua
myydä,πουλάω,продавать,विक्रीणाति,verkaufen,namactia,vender,vendere,vendre,díol,sell,售卖,bán,売る,팔다,འཚོང,ขาย,menjual,satmak,باع,מכר,uza
yrittää,προσπαθώ,пытаться,यतते,versuchen,yeyecoa,intentar,provare,essayer,triail,try,尝试,thử,試す,시도하다,འབད,ลอง,mencoba,denemek,حاول,ניסה,jaribu
luoda,δημιουργώ,создавать,सृजति,erschaffen,yocoya,crear,creare,créer,cruthaigh,create,创造,tạo,作る,만들다,བཟོ,สร้าง,membuat,yaratmak,خلق,יצר,unda
käyttää,χρησιμοποιώ,использовать,भुनक्ति,benutzen,nequi,usar,usare,utiliser,úsáid,use,使用,dùng,使う,쓰다,བེད་སྤྱོད་བྱེད,ใช้,menggunakan,kullanmak,استخدم,השתמש,tumia
pilata,καταστρέφω,разрушать,नश्यति,zerstören,xixinia,destruir,distruggere,détruire,scrios,ruin,破坏,hủy hoại,壊す,망치다,གཏོར,ทำลาย,merusak,mahvetmek,ثبر,הרס,haribu
tappaa,σκοτώνω,убить,हन्ति,töten,mictia,matar,uccidere,tuer,maraigh,kill,杀,giết,殺す,죽이다,བསད,ฆ่า,membunuh,öldürmek,قتل,הרג,ua
kuolla,πεθαίνω,умереть,म्रियते,sterben,miqui,morir,morire,mourir,faigh bás,die,死,chết,死ぬ,죽다,ཤི,ตาย,mati,ölmek,مات,מת,fa
elää,ζω,жить,जीवति,leben,yolli,vivir,vivere,vivre,mair,live,活,sống,生きる,살다,བསྡད,มีชีวิต,hidup,yaşamak,عاش,חי,ishi
uneksia,ονειρεύομαι,мечтать,आशांकरोति,träumen,temiqui,soñar,sognare,rêver,taibhrigh,dream,梦,mơ ước,夢見る,꾸다,རྨི་ལམ་བཏང,ฝัน,mimpi,rüya görmek,حلم,חלם,ota
nukkua,κοιμάμαι,спать,स्वपति,schlafen,cochi,dormir,dormire,dormir,codail,sleep,睡,ngủ,眠る,자다,གཉིད,นอน,tidur,uyumak,نوم,ישן,lala
herätä,ξυπνάω,проснуться,बोधते,aufwachen,iza,despertar,svegliarsi,se réveiller,dúisigh,wake up,醒,thức dậy,覚める,일어나다,གཉིད་སད,ตื่นนอน,bangun,uyanmak,أيقظ,העיר,amka
maata,ξαπλώνω,лечь,शेते,liegen,colihui,yacer,stendersi,s'étendre,luigh,lie,躺,nằm,寝る,눕다,ཉལ,นอน,tidur,yatmak,وضع,שכב,gona
istua,ἵζω,сидеть,सीदति,sitzen,mocequi,sentarse,sedere,s'asseoir,suigh,sit,坐,ngồi,座る,앉다,བསྡད,นั่ง,duduk,oturmak,جلس,ישב,kaa
kyykky,σκύβω,присесть,पर्यङ्कबध्नाति,hocken,xoloca,acuclillarse,accovacciarsi,s'accroupir,gróig,squat,蹲,ngồi xổm,しゃがむ,웅크리다,པུས་ཙོག་རྒྱག,หมอบ,berjongkok,çömelmek,جثم,ישב,chuchumaa
kumartua,σκύβω,наклониться,नमति,bücken,pechoa,inclinarse,chinarsi,se baisser,crom,stoop,伏,cúi xuống,屈める,구부리다,གུག་གུག་བྱེད,ก้ม,membungkuk,eğilmek,انحدر,התכופף,inama
seistä,στέκομαι,стоять,तिष्ठति,stehen,ihcatoc,pararse,stare in piedi,se tenir,seas,stand,站,đứng,立つ,서다,ལངས,ยืน,berdiri,durmak,وقف,עמד,simama
kävellä,περπατάω,ходить,चरति,gehen,nehnemi,caminar,camminare,marcher,siúil,walk,走,đi bộ,歩く,걷다,གོམ་པ་རྒྱག,เดิน,berjalan,yürümek,مشى,הלך,tembea
juosta,τρέχω,бежать,धावति,laufen,tlaloa,correr,correre,courir,rith,run,跑,chạy,走る,달리다,རྒྱུག,วิ่ง,berlari,koşmak,ركض,רץ,kimbia
hypätä,πηδάω,прыгать,कूर्दति,springen,choloa,saltar,saltare,sauter,léim,jump,跳,nhảy,跳ねる,점프,མཆོངས,ข้ามไป,melompat,zıplamak,قفز,קפץ,ruka
uida,κολυμπάω,плавать,तरति,schwimmen,maneloa,nadar,nuotare,nager,snámh,swim,游,bơi,泳ぐ,수영하다,ཆུ་རྐྱལ་རྒྱག,ว่ายน้ำ,berenang,yüzmek,سبح,שחה,ogelea
lentää,πετάω,летать,पतति,fliegen,patlani,volar,volare,voler,eitil,fly,飞,bay,跳ぶ,날다,འཕུར,บิน,terbang,uçmak,طار,עף,ruka
nousta,ανεβαίνω,вставать,रोहति,steigen,quehquetza,levantar,salire,se lever,éirigh,rise,上升,lên,上がる,오르다,ལང,ขึ้น,naik,yükselmek,نهض,עלה,panda
pudota,πέφτω,падать,पतति,fallen,huetzi,caer,cadere,tomber,tit,fall,落下,ngã,降りる,내리다,ལྷུང,ตก,terjatuh,düşmek,وقع,נפל,anguka
ohittaa,περνάω,пройти,वियाति,durchgehen,pano,pasar,passare,passer,gabh,pass,通过,vượt qua,渡す,넘다,ལ་རྒྱག,ผ่าน,melewati,geçmek,مر,עבר,pita
laulaa,τραγουδάω,петь,गायति,singen,cuica,cantar,cantare,chanter,can,sing,唱歌,hát,歌う,노래하다,གཞས་བཏང,ร้องเพลง,menyanyi,şarkı söylemek,غنى,שר,imba
tanssia,χορεύω,танцевать,नटति,tanzen,itotia,bailar,ballare,danser,rinc,dance,跳舞,nhảy,踊る,추다,ཞབས་འབྲོ་རྒྱག,ต้น,menari,dans etmek,رقص,רקד,cheza
pelata,παίζω,играть,क्रीडति,spielen,mahuiltia,jugar,giocare,jouer,imir,play,玩,chơi,遊ぶ,놀다,རྩེད་མོ་རྩེ,เล่น,bermain,oynamak,لعب,שיחק,cheza
kellua,πλέω,плаватьна плаву,प्लवते,schweben,matoxoma,flotar,galleggiare,flotter,snámh,float,浮,nổi,浮かぶ,뜨다,འཕྱོ,ลอย,mengapung,yüzmek,طفا,צף,elea
virrata,τρέχω,течь,सरति,fließen,meya,fluir,scorrere,couler,snigh,flow,流,chảy,流れる,흐르다,རྒྱུག,ไหล,mengalir,akmak,دفق,זרם,tiririka
jäätyä,παγώνω,замёрзнуть,शीयते,frieren,cehuetzi,congelarse,congelare,geler,reoigh,freeze,冻结,đóng băng,凍る,얼다,ཁྱགས་པ་རྒྱག,แช่แข็ง,membeku,dondurmak,جمد,הקפיא,ganda
paisua,φουσκώνω,пухнуть,श्वयति,schwellen,poxauti,hincharse,crescere,gonfler,at,swell,膨胀,sưng lên,膨らむ,붓다,བསྐྲངས,พอง,membengkak,şişmek,ورم,התנפח,fura
kasvaa,μεγαλώνω,расти,वर्धति,wachsen,hueya,crecer,crescere,croître,fás,grow,生长,lớn lên,生える,자라다,སྐྱེས,เติบโต,tumbuh,büyümek,نما,גדל,kua
palaa,καίω,жечь,दहति,brennen,tlania,quemar,bruciare,brûler,dóigh,burn,烧,đốt,燃える,타다,ཚིག,เผา,membakar,yakmak,حرق,שרף,choma
kokata,ψήνω,готовить,पचति,kochen,iucci,cocinar,cucinare,cuisiner,cócaráil,cook,煮,nấu,煮る,굽다,བཙོས,ทำอาหาร,memasak,pişirmek,طهى,בשל,pika
rakastaa,αγαπάω,любить,कामयति,lieben,tlazotilia,amar,amare,aimer,gráigh,love,爱,yêu,愛する,사랑하다,བརྩེ་དུང་བྱེད,รัก,mencintai,sevmek,حب,אהב,penda
haluta,θέλω,хотеть,इच्छति,wollen,nequi,querer,volere,vouloir,iarr,want,要,muốn,欲する,원하다,དགོས,ต้องการ,inginkan,istemek,أراد,רצה,taka
tarvita,χρειάζομαι,нуждаться,प्रयोजनम्अस्ति,brauchen,nequi,necesitar,aver bisogno,avoir besoin,teastaigh ó,need,需,cần,要する,필요하다,དགོས,ต้องการ,butuh,ihtiyacı olmak,احتاج,צריך,hitaji
vihata,μισώ,ненавидеть,द्वेष्टि,hassen,cocolia,odiar,odiare,détester,fuathaigh,hate,恨,ghét,嫌う,싫어하다,སྡང,เกลียด,membenci,nefret etmek,كره,שנא,chukia
pelätä,φοβάμαι,бояться,बिभेति,fürchten,mahuilia,temer,temere,craindre,eaglaigh,fear,怕,sợ,恐れる,두렵다,ཞེད,กลัว,takut,korkmak,خاف,פחד,ogopa
