syllable,onset,rhyme,n,pole_1,pole_2,pole_3,parallel_1,parallel_2,parallel_3,neighbors,example_words
aɪ,∅,aɪ,4,中卦-static,中卦-dynamic,巽卦-static,艮卦-static + 中卦-dynamic,中卦-static + 離卦-dynamic,艮卦-dynamic + 中卦-dynamic,preference little_brother certain type little_sister dwarf one only,愛(love) 矮小(short) 矮人(dwarf) 偏愛(preference)
feɪ,f,eɪ,9,兌卦-dynamic,艮卦-static,艮卦-dynamic,艮卦-static + 兌卦-dynamic,兌卦-dynamic,艮卦-static + 艮卦-dynamic,fly air air_conditioner pilot smoke wind coffee cigarette,飛(fly) 煮沸(boil) 吠叫(bark) 飛燕草(delphinium) 咖啡(coffee) 肺(lung) 飛機(plane) 肥皂(soap) 飛行員(pilot)
keɪ,k,eɪ,1,兌卦-dynamic,離卦-dynamic,震卦-dynamic,離卦-dynamic + 兌卦-dynamic,兌卦-dynamic,離卦-dynamic,give take get ask lend make want help,給(give)
leɪ,l,eɪ,6,坎卦-static,震卦-static,離卦-static,震卦-static + 離卦-static,坎卦-static + 震卦-static,艮卦-static + 坎卦-static,bone human lung rib tear heart thunder fire,人類(human) 肋骨(rib) 眼淚(tear) 雷(thunder) 類型(type) 堡壘(fort)
meɪ,m,eɪ,12,坎卦-static,中卦-dynamic,巽卦-static,坎卦-static,坎卦-static + 中卦-dynamic,坎卦-static + 巽卦-static,little_sister niece little_brother sister daughter girl granddaughter nephew,美麗(beautiful) 完美(perfect) 每個(each) 姐妹(sister) 妹妹(little sister) 妹妹(little sister) 兄弟姐妹(siblings) 畫眉(song thrush) 草莓(strawberry) 玫瑰(rose) 眉毛(eyebrow) 媒體(media)
neɪ,n,eɪ,1,巽卦-dynamic,兌卦-dynamic,乾卦-static,巽卦-dynamic + 乾卦-static,兌卦-dynamic + 乾卦-static,巽卦-dynamic + 兌卦-dynamic,guts spit dig put swallow vomit spleen raw,內臟(guts)
peɪ,p,eɪ,13,艮卦-dynamic,震卦-dynamic,坎卦-static,艮卦-dynamic + 坎卦-static,艮卦-dynamic + 震卦-static,坎卦-static + 震卦-dynamic,hope sad pray grief cry heart die peace,悲痛(grief) 責備(blame) 準備(prepare) 悲傷(sad) 準備好(ready) 北極熊(polar bear) 貝殼(shell) 杯子(cup) 背(back) 北(north) 被子(quilt) 悖論(paradox)
pʰeɪ,pʰ,eɪ,2,離卦-dynamic,兌卦-dynamic,震卦-dynamic,離卦-dynamic,震卦-dynamic + 離卦-dynamic,離卦-dynamic + 兌卦-dynamic,accompany match choose arrange play present order combine,匹配(match) 陪伴(accompany)
t͡seɪ,t͡s,eɪ,1,乾卦-static,兌卦-static,坤卦-dynamic,兌卦-static + 乾卦-static,坤卦-dynamic + 乾卦-static,坤卦-dynamic + 兌卦-static,squid octopus shark fish shrimp crab lobster jellyfish,烏賊(squid)
xeɪ,x,eɪ,3,坎卦-static,中卦-static,坤卦-static,坎卦-static + 中卦-static,艮卦-static + 中卦-static,坤卦-static + 坎卦-static,black white brown black_hole gray dark blue red,黑暗(dark) 黑色(black) 黑洞(black hole)
ʈ͡ʂeɪ,ʈ͡ʂ,eɪ,2,乾卦-static,離卦-static,震卦-static,震卦-dynamic + 乾卦-static,離卦-static + 乾卦-static,震卦-static + 乾卦-static,this here thing what sure there today that,這個(this) 這裏(here)
li,l,i,50,坎卦-static,坎卦-dynamic,震卦-static,坎卦-static + 震卦-dynamic,艮卦-dynamic + 坎卦-static,坎卦-static + 離卦-dynamic,place matter thing what how exactly this imagine,離(leave) 逃離(escape) 婚禮(wedding) 離婚(divorce) 剝離(peel) 處理(handle) 整理(sort) 理解(understand) 管理(manage) 犁(plough) 修理(fix) 美麗(beautiful)
mi,m,i,11,中卦-dynamic,中卦-static,坎卦-static,坎卦-static + 中卦-dynamic,坎卦-static + 中卦-static,中卦-static + 乾卦-static,mushroom berry honey rice peach corn hazelnut almond,秘密(secret) 秘密(secret) 密集(dense) 蜜蜂(bee) 獼猴桃(kiwi) 玉米(corn) 米飯(rice) 蜂蜜(honey) 迷宮(labyrinth) 秘書(secretary) 密度(density)
ni,n,i,9,兌卦-dynamic,離卦-dynamic,震卦-dynamic,離卦-dynamic + 兌卦-dynamic,兌卦-dynamic,離卦-dynamic,daughter baby son grandson sister niece boy little_sister,你(you) 你們(you) 兒子(son) 女兒(daughter) 嬰兒(baby) 泥土(earth) 托兒所(nursery) 水泥(cement) 你好(hello)
pi,p,i,17,艮卦-static,離卦-dynamic,震卦-static,艮卦-static + 離卦-dynamic,艮卦-static + 兌卦-dynamic,艮卦-static + 艮卦-dynamic,hand pen thumb pencil draw stick glove finger,關閉(close) 硬幣(coin) 避免(avoid) 比較(compare) 鄙視(disdain) 必要(necessary) 鼻子(nose) 鼻孔(nostril) 鼻涕(snot) 手臂(arm) 壁櫥(closet) 鉛筆(pencil)
pʰi,pʰ,i,12,艮卦-static,坤卦-dynamic,震卦-static,坤卦-dynamic + 艮卦-static,坤卦-dynamic + 巽卦-dynamic,坤卦-dynamic + 震卦-static,skin fur neck armpit chin bone beard thigh,匹配(match) 疲勞(tired) 樹皮(bark) 皮膚(skin) 脆皮(crust) 啤酒(beer) 毛皮(fur) 眼皮(eyelid) 脾(spleen) 屁(fart) 皮帶(belt) 披風(cloak)
ti,t,i,28,坎卦-static,震卦-static,離卦-static,坎卦-static + 震卦-static,震卦-static + 離卦-static,坤卦-static + 震卦-static,middle inside place outside hole house black_hole deep,洗滌(wash) 低語(whisper) 滴下(drip) 低(low) 當地(local) 第一(first) 兄弟(brother) 弟弟(little brother) 弟弟(little brother) 兄弟姐妹(siblings) 平底鍋(pan) 土地(land)
tʰi,tʰ,i,24,震卦-static,艮卦-static,坤卦-static,艮卦-static + 震卦-static,震卦-static,坤卦-static + 震卦-static,elevator microphone toilet fart tuba floor slide organ,踢(kick) 打噴嚏(sneeze) 提供(provide) 提到(mention) 裸體(naked) 鵜(pelican) 蟬(cicada) 液體(fluid) 鼻涕(snot) 身體(body) 梯子(ladder) 滑梯(slide)
t͡ɕi,t͡ɕ,i,66,兌卦-dynamic,坤卦-dynamic,離卦-dynamic,坤卦-dynamic + 離卦-dynamic,坤卦-static + 離卦-dynamic,坤卦-dynamic + 兌卦-dynamic,train_driver person printer computer machine train bus_driver car,繼續(continue) 擠(squeeze) 記住(remember) 忘記(forget) 攻擊(attack) 堆積(pile) 記錄(record) 繼承(inherit) 計算(calculate) 編輯(edit) 設計(design) 計劃(plan)
t͡ɕʰi,t͡ɕʰ,i,39,坤卦-dynamic,坤卦-static,艮卦-dynamic,坤卦-dynamic + 艮卦-static,坤卦-dynamic + 艮卦-dynamic,坤卦-dynamic + 坎卦-static,balloon plane first thing one dream moon day,騎(ride) 祈禱(pray) 起皺(wrinkle) 欺騙(deceive) 好奇(curious) 奇怪(strange) 奇(odd) 整齐的(tidy) 乞丐(beggar) 其他(other) 七(seven) 妻子(wife)
ɕi,ɕ,i,38,離卦-dynamic,坤卦-static,坤卦-dynamic,坤卦-static + 離卦-dynamic,坤卦-dynamic + 離卦-dynamic,坤卦-static + 兌卦-dynamic,thing learn work really understand imagine know how,學習(learn) 習慣(be used to) 洗滌(wash) 吮吸(suck) 呼吸(breathe) 喜歡(like) 練習(practise) 復習(review) 出席(attend) 希望(hope) 稀疏(sparse) 細(fine)
i,∅,i,58,坤卦-static,離卦-dynamic,坎卦-static,坤卦-static + 離卦-dynamic,坤卦-dynamic + 離卦-dynamic,坤卦-static + 震卦-dynamic,one time exactly same case just only when,懷疑(doubt) 移動(move) 註意(notice) 溢出(spill) 阻礙(obstruct) 翻譯(translate) 容易(easy) 依賴(dependent) 一貫(consistent) 任意(arbitrary) 異(different) 便宜(cheap)
lin,l,in,5,坎卦-static,坤卦-dynamic,離卦-static,坤卦-dynamic + 坎卦-static,坎卦-static,坤卦-dynamic + 離卦-static,neighbor neighbour forest house park volcano shower garden,淋浴(shower) 森林(forest) 冰淇淋(ice cream) 鄰居(neighbor) 鄰居(neighbour)
min,m,in,4,兌卦-dynamic,乾卦-static,離卦-dynamic,兌卦-dynamic + 乾卦-static,坎卦-static + 兌卦-dynamic,離卦-dynamic + 乾卦-static,people farmer grow poor pity hungry who beggar,憐憫(pity) 殖民(colonize) 民族(people) 農民(farmer)
pʰin,pʰ,in,4,中卦-static,坤卦-dynamic,中卦-dynamic,中卦-static + 離卦-dynamic,中卦-static + 兌卦-dynamic,坤卦-dynamic + 中卦-static,employ poor medicine frequency often less practise common,聘請(employ) 貧窮(poor) 藥品(medicine) 頻率(frequency)
t͡ɕin,t͡ɕ,in,22,艮卦-dynamic,震卦-dynamic,艮卦-static,艮卦-static + 艮卦-dynamic,艮卦-dynamic + 震卦-static,艮卦-dynamic + 坎卦-static,today pyramid moon tulip golden dream shape world,接近(approach) 進(enter) 浸泡(soak) 禁止(forbid) 緊(tight) 近(near) 緊張(nervous) 近似(approximate) 禁欲(ascetic) 金色(golden) 郁金香(tulip) 金魚草(snapdragon)
t͡ɕʰin,t͡ɕʰ,in,7,巽卦-static,離卦-dynamic,兌卦-static,巽卦-static + 離卦-dynamic,巽卦-static,巽卦-static + 巽卦-dynamic,piano cello violin guitar saxophone flute tuba trumpet,侵蝕(erode) 勤勞(diligent) 芹菜(celery) 大提琴(cello) 小提琴(violin) 鋼琴(piano) 管風琴(organ)
ɕin,ɕ,in,17,離卦-dynamic,坎卦-static,乾卦-static,離卦-dynamic + 乾卦-static,坎卦-static + 離卦-dynamic,坤卦-dynamic + 離卦-dynamic,sunflower message sweet_potato apple daffodil letter almond hope,心智(mind) 相信(believe) 開心(happy) 惡心(disgusted) 耐心(patient) 新(new) 新鮮(fresh) 核心(kernel) 卷心菜(cabbage) 康乃馨(carnation) 風信子(hyacinth) 開心果(pistachio)
in,∅,in,21,離卦-dynamic,艮卦-static,坤卦-static,坤卦-static + 離卦-dynamic,艮卦-static + 離卦-dynamic,坤卦-dynamic + 離卦-dynamic,music radio classical_music pop_music voice sound trumpet guitar,隱藏(hide) 打印(print) 復印(copy) 銀色(silver) 銀蓮花(anemone) 銀杏(ginkgo) 飲料(beverage) 陰影(shadow) 聲音(sound) 語音(voice) 銀(silver) 引擎(engine)
liŋ,l,iŋ,5,艮卦-static,震卦-static,坎卦-static,艮卦-static + 坎卦-static,艮卦-static + 震卦-static,坤卦-dynamic + 艮卦-static,zero age level minimum limit same count maximum,領導(lead) 命令(command) 零(zero) 年齡(age) 衣領(collar)
miŋ,m,iŋ,14,坤卦-dynamic,坤卦-static,中卦-static,坤卦-dynamic,坤卦-dynamic + 中卦-static,坤卦-dynamic + 乾卦-dynamic,moon golden sparrow bright crow turtledove raven wise,鳴叫(chirp) 打鳴(crow) 命令(command) 出名(famous) 透明(transparent) 聰明(clever) 明智(wise) 明亮(bright) 明天(tomorrow) 名稱(name) 明信片(postcard) 命運(fate)
niŋ,n,iŋ,1,艮卦-dynamic,兌卦-dynamic,震卦-dynamic,坤卦-dynamic + 震卦-dynamic,坤卦-dynamic + 兌卦-dynamic,坤卦-dynamic + 艮卦-dynamic,stare mirror face sit stoop blink smile motionless,凝視(stare)
piŋ,p,iŋ,14,震卦-dynamic,艮卦-static,艮卦-dynamic,艮卦-static + 震卦-dynamic,震卦-dynamic,艮卦-dynamic + 震卦-dynamic,ice_cream doughnut pancake ice croissant milkshake pudding apple_pie,病(sick) 病毒(virus) 冰淇淋(ice cream) 冰沙(smoothie) 香檳酒(champagne) 曲奇餅(cookie) 油炸圈餅(doughnut) 餅子(pancake) 疾病(disease) 冰(ice) 冰雹(hail) 冰川(glacier)
pʰiŋ,pʰ,iŋ,12,震卦-static,艮卦-static,坤卦-static,艮卦-static + 震卦-static,艮卦-static + 中卦-static,中卦-static + 震卦-static,apple_pie flat cup bowl cake pot rectangle pudding,平(flat) 平等(equal) 公平(fair) 蘋果(apple) 蘋果派(apple pie) 瓶子(bottle) 平底鍋(pan) 平原(plain) 和平(peace) 屏幕(screen) 乒乓球(table tennis) 平均(average)
tiŋ,t,iŋ,10,艮卦-static,震卦-static,坎卦-static,艮卦-static + 震卦-static,艮卦-static,艮卦-static + 坎卦-static,top tall height tower dome big next one,決定(decide) 穩定(stable) 肯定(certain) 紫丁香(lilac) 布丁(pudding) 頂峰(peak) 屋頂(roof) 圓頂(dome) 園丁(gardener) 頂部(top)
tʰiŋ,tʰ,iŋ,10,坤卦-dynamic,坎卦-static,離卦-dynamic,坤卦-dynamic + 離卦-dynamic,坤卦-dynamic + 離卦-static,坤卦-dynamic + 坎卦-static,living_room dining_room home room house stay relax place,停留(stay) 聽(hear) 聽(listen) 停止(stop) 家庭(family) 蜻蜓(dragonfly) 客廳(living room) 飯廳(dining room) 餐廳(restaurant) 法庭(court)
t͡ɕiŋ,t͡ɕ,iŋ,27,坤卦-dynamic,兌卦-static,坎卦-static,坤卦-dynamic + 兌卦-static,坤卦-dynamic,坤卦-dynamic + 艮卦-static,eye lens optician scanner telescope blink mirror needle,警告(warn) 驚訝(surprised) 精確(precise) 幹凈(clean) 安靜(quiet) 寂靜(silent) 長頸鹿(giraffe) 鯨(whale) 莖(stem) 荊棘(thorn) 眼睛(eye) 神經(nerve)
t͡ɕʰiŋ,t͡ɕʰ,iŋ,17,坤卦-dynamic,兌卦-dynamic,坤卦-static,坤卦-dynamic + 兌卦-dynamic,坤卦-dynamic,坤卦-dynamic + 離卦-dynamic,woman boy mother father child man son person,親吻(kiss) 聘請(employ) 清澈(clear) 輕(light) 情感(emotion) 清白(innocent) 年輕(young) 清醒(sober) 母親(mother) 父親(father) 親戚(relatives) 青蛙(frog)
ɕiŋ,ɕ,iŋ,44,坎卦-static,艮卦-static,艮卦-dynamic,艮卦-dynamic + 坎卦-static,艮卦-static + 艮卦-dynamic,艮卦-static + 坎卦-static,planet moon comet jupiter galaxy pluto venus star,醒(wake up) 旅行(travel) 爬行(crawl) 興奮(excited) 清醒(sober) 海星(starfish) 銀杏(ginkgo) 杏仁(almond) 星星(star) 星星(star) 星期(week) 自行車(bicycle)
iŋ,∅,iŋ,17,艮卦-static,坤卦-dynamic,離卦-dynamic,坤卦-dynamic + 艮卦-static,艮卦-static + 離卦-dynamic,艮卦-static + 艮卦-dynamic,bird frog owl butterfly eagle sparrow dragonfly crow,硬幣(coin) 贏(win) 影響(affect) 硬(hard) 受歡迎(popular) 嬰兒(baby) 鸚鵡(parrot) 貓頭鷹(owl) 鷹(eagle) 蒼蠅(fly) 螢火蟲(firefly) 櫻桃(cherry)
t͡ɕiɑ,t͡ɕ,iɑ,22,震卦-static,兌卦-dynamic,艮卦-dynamic,震卦-static + 兌卦-dynamic,艮卦-dynamic + 震卦-static,震卦-static + 離卦-dynamic,value price lose increase point limit right decrease,駕駛(drive) 加上(add) 增加(increase) 打架(fight) 吵架(quarrel) 加載(load) 假設(assume) 虛假(False) 家庭(family) 甲壳(carapace) 伏特加(vodka) 指甲(fingernail)
ɕiɑ,ɕ,iɑ,15,艮卦-dynamic,震卦-dynamic,艮卦-static,艮卦-dynamic + 兌卦-static,艮卦-static + 艮卦-dynamic,震卦-dynamic + 兌卦-static,down next sink fall sit until end break,吞下(swallow) 落下(fall) 下降(descend) 滴下(drip) 下沈(sink) 下一個(next) 蝦(shrimp) 龍蝦(lobster) 下巴(chin) 下顎(jaw) 下午(afternoon) 夏天(summer)
iɑ,∅,iɑ,10,兌卦-static,坤卦-dynamic,艮卦-static,坤卦-dynamic + 兌卦-static,兌卦-static,坤卦-dynamic,frog crocodile snake shark turtle cormorant dolphin crab,驚訝(surprised) 啞(dumb) 鴨(duck) 烏龜(tortoise) 烏賊(squid) 蚜(aphid) 懸崖(cliff) 亞麻布(linen) 牙醫(dentist) 壓力(pressure)
liɑŋ,l,iɑŋ,13,艮卦-dynamic,兌卦-dynamic,艮卦-static,艮卦-static + 艮卦-dynamic,艮卦-static + 乾卦-dynamic,艮卦-dynamic + 乾卦-dynamic,energy power beam velocity gravity light momentum impulse,原諒(forgive) 測量(measure) 涼(cool) 明亮(bright) 月亮(moon) 力量(power) 數量(amount) 橫梁(beam) 能量(energy) 重量(weight) 向量(vector) 沖量(impulse)
t͡ɕiɑŋ,t͡ɕ,iɑŋ,10,兌卦-dynamic,震卦-dynamic,離卦-dynamic,震卦-dynamic + 離卦-dynamic,震卦-dynamic + 兌卦-dynamic,離卦-dynamic + 兌卦-dynamic,almond soy_sauce hazelnut pear cinnamon butter cheese mustard,講述(tell) 講(speak) 下降(descend) 漿果(berry) 番茄醬(ketchup) 生姜(ginger) 醬(sauce) 醬油(soy sauce) 將來(future) 木匠(carpenter)
