Hungarian,Finnish,Greek,Russian,Sanskrit,German,Nahuatl,Spanish,Italian,French,Irish,Welsh,English,Chinese,Vietnamese,Japanese,Korean,Tibetan,Thai,Indonesian,Turkish,Swahili,Hindi,Iti,Ifi,French2,French3,Frnch,French4,Flinch
döntsd el,päättää,αποφασίζω,решить,वृणोति,entscheiden,pepena,decidir,decidere,decider,socraigh,phenderfynon,decide,決定,quyết định,決める,결정하다,གདམ་ཀ་རྒྱག,ตัดสิน,memutuskan,karar vermek,amua,तय करना,la,pa2,tchoisir ,fchoisir ,chsr ,choitir ,choetel 
választás,valita,διαλέγω,выбирать,अनुभवति,wählen,mati,elegir,scegliere,choisir,roghnaigh,ddetholem,choose,選擇,chọn,選ぶ,고르다,མྱངས,เลือก ,memilih,seçmek,chagua,चुनें,li,pi2,tsentir ,fsentir ,sntr ,tensir ,tinsel 
érzem,tuntea,νιώθω,чувствовать,पश्यति,fühlen,itta,sentir,sentire,sentir,mothaigh,theimlwch,feel,感覺,cảm thấy,感じる,느끼다, མཐོང,รู้สึก ,merasa,hissetmek,hisi,महसूस,lu,pu2,tvoir,fvoir,vr,voir,voel
lásd,nähdä,βλέπω,увидеть,शृणोति,sehen,caqui,ver,vedere,voir,feic,gweler,see,看見,xem,見る,보다,གོ,ดู,melihat,görmek,ona,देखिए,ca,za2,tentendre,fentendre,ntndr,ensenzre,insinzli
hallani,kuulla,ακούω,услышать,स्पृशति,hören,matoca,escuchar,ascoltare,entendre,clois,glywa ’,hear,聽,nghe,聞く,듣다,སག་པ་འཆངས,ฟัง,mendengar,duymak,sikia,सुन,ci,zi2,ttoucher ,ftoucher ,tchr ,soucher ,souchil 
érintés,koskettaa,αγγίξω,трогать,जिघ्रति,berühren,ihnecui,tocar,toccare,toucher,teagmhaigh,cyffyrddant,touch,觸摸,chạm,触る,만지다,སྣོམ,สัมผัส ,menyentuh,dokunmak,gusa,टच,cu,zu2,tsentir,fsentir,sntr,tensir,tinsel
illat,haistaa,μυρίζω,пахнуть,रसति,riechen,paloa,oler,odorare,sentir,bolaigh,harogleuoch,smell,聞,ngửi,嗅ぐ,맡다 ,མྱོད,ดม,mencium,koklamak,nunulia,महकते,cha,zha2,tgoûter ,fgoûter ,gtr ,boûser ,boûsil 
íze,maistaa,δοκιμάσω,пробовать,वदति,schmecken,ihtoa,probar,assaggiare,goûter,blais,sawri,taste,嘗,nếm,味わう,맛보다, ལབ,ลิ้มรส ,merasakan,tatmak,onja,स्वाद,chi,zhi2,tdire,fdire,dr,zire,zeli
mondd,sanoa,λέω,сказать,वेत्ति,sagen,mati,decir,dire,dire,abair,dywedant,say,說,nói,言う,말하다,ཤེས,พูด,mengatakan,söylemek,sema,कह,chu,zhu2,tsavoir ,fsavoir ,svr ,tavoir ,tavoel 
tud,tietää,γνωρίζω,знать,जानाति,wissen,machtia,saber,sapere,savoir,bí a fhios ag,hadnabyddent,know,知,biết,知る,알다,སློབ་སྦྱོད་བྱེད,รู้,mengetahui,bilmek,jua,जान,mau,mau2,tapprendre ,fapprendre ,pprndr ,akkrenzre ,akklinzli 
tanul,oppia,μαθαίνω,учиться,पृच्छति,lernen,tlatlania,aprender,imparare,apprendre,foghlaim,dysgwn,learn,學習,học,学ぶ,배우다 ,སྐད་ཆ་དྲིས,เรียนรู้ ,mempelajari,öğrenmek,jifunza,सीख,tau,fau2,tdemander ,fdemander ,dmndr ,zemanzer ,zimanzil 
tanítani,opettaa,για να διδάξω,учить,अभिभाषते,lehren,nanquilia,enseñar,insegnare,enseigner,múin,haddysgu,teach,教,dạy,教える,가르치다,ལན་རྒྱག,สอน,mengajar,öğretmek,fundisha,सिखा,pau,lau2,trépondre ,frépondre ,rpndr ,rékonzre ,lékonzli 
ismétlés,toistaa,επαναλαμβάνω,повторять,लिखति,wiederholen,tlacuiloa,repetir,ripetere,répéter,athdhéan,hailadroddwch,repeat,重復,lặp lại,繰り返す,반복하려면,འབྲི,ทำซ้ำ,mengulang,tekrarlamak için,rudia,दोहराना,zau,cau2,técrire ,fécrire ,crr ,écrire ,épleli 
hozzá van szokva valamihez,olla tottunut,να συνηθίσει,быть использованным для,पठति,gewohnt sein an,amoxitoa,estar acostumbrado a,essere solito,s'habituer à,cleacht,cael ei ddefnyddio i,be used to,習慣,được dùng để,慣れる,익숙해 져야합니다,ཀློག,ใช้,terbiasa,alışmak,tumika,आदी हो,zhau,chau2,tlire ,flire ,lr ,lire ,reli 
folytatás,jatkaa,να συνεχίσει,продолжать,खादति,weitermachen,cua,continuar,continuare,continuer,lean,parhawn,continue,繼續,tiếp tục,続ける,계속하다,ཟ,ดำเนินการต่อ,melanjutkan,devam etmek,endelea,जारी रखना,fau,tau2,tmanger ,fmanger ,mngr ,manber ,manbil 
kérdez,kysyä,ρωτάω,спросить,पिबति,fragen,i,preguntar,chiedere,demander,fiafraigh,holom,ask,問,hỏi,聞く,묻다 ,འཐུང,ถาม ,bertan,sormak,uliza,पूछो,lau,pau2,tboire ,fboire ,br ,goire ,goeli 
válasz,vastata,απαντώ,отвечать,भजति,antworten,pialia,contestar,rispondere,répondre,freagair,atebem,answer,答,trả lời,答える,대답하다,ཡོད,ตอบ ,menjawab,cevaplamak,jibu,जवाब,cau,zau2,tavoir ,favoir ,vr ,avoir ,avoel 
döntetlen,piirtää,για να σχεδιάσω,рисовать,धरति,zeichnen,tlatzitzquia,dibujar,disegnare,dessiner,tarraing,ddarluniasant,draw,畫,vẽ,画く,그리기 위해,ཟིན,วาด,menggambar,çizmek,chora,चित्रण,chau,zhau2,ttenir,ftenir,tnr,senir,sinel
írjon,kirjoittaa,γράψω,написать,नयति,schreiben,hualcui,escribir,scrivere,écrire,scríobh,ysgrifennu,write,寫,viết,書く,쓰다,བཀྱག,เขียน ,menulis,yazmak,andika,लिखें,moi,moi2,tapporter ,fapporter ,pprtr ,akkorser ,akkolsil 
olvasott,lukea,διαβασω,читать,आप्नोति,lesen,icnopilhuia,leer,leggere,lire,léigh,darllenasit,read,讀,đọc,読む,읽다 ,ཐོབ,อ่าน ,membaca,okumak,soma,पढ़ा,toi,foi2,trecevoir,frecevoir,rcvr,recevoir,licivoel
eszik,syödä,τρώω,есть,ददाति,essen,maca,comer,mangiare,manger,ith,bwytaem,eat,吃,ăn,食べる,먹다,སྤྲོད,กิน ,makan,yemek,la,खा,poi,loi2,tdonner ,fdonner ,dnnr ,zonner ,zonnil 
iszik,juoda,πίνω,пить,प्रेषति,trinken,titlani,beber,bere,boire,ól,yfo,drink,喝,uống,飲む,마시다,བཏང,ดื่ม ,minum,içmek,nywa,पेय,zoi,coi2,tenvoyer ,fenvoyer ,nvyr ,envoyer ,invoyil 
van,olla,έχω,иметь,दधाति,haben,contlalia,tener,avere,avoir,bí ag,cael,have,有,có,有る,있다 ,བཞག,มี,memiliki,sahip olmak,wa na,पास,zhoi,choi2,tmettre ,fmettre ,mttr ,messre ,missli 
tart,pitää,κρατάω,держать,त्यजति,halten,cahuilia,sostener,tenere,tenir,coinnigh,cymerwch,hold,持,giữ,持つ,들다,བཞག,เก็บ,memegang,tutmak,shikilia,थाम,foi,toi2,tlaisser,flaisser,lssr,laitter,raettil
hozd,tuoda,φέρνω,принести,हरति,bringen,cui,llevar,portare,apporter,beir,ddygaf,bring,帶,mang theo,持って来る,가져오다 ,ཞུ,นำ,membawa,getirmek,leta,लाओ,loi,poi2,tprendre ,fprendre ,prndr ,krenzre ,klinzli 
kap,saada,παίρνω,получить,चोरयति,bekommen,ichtequi,obtener,ottenere,recevoir,faigh,ddwyn,get,得,được,得る,얻다,རྐུ་མ་རྐུ,รับ,mendapatkan,almak,pata,मिलेंगी,coi,zoi2,tvoler ,fvoler ,vlr ,voler ,voril 
adni,antaa,δίνω,дать,निहन्ति,geben,tlatzotzona,dar,dare,donner,tabhair,rho,give,給,cho,与える,주다 ,གཞུས་པ,ให้,memberi,vermek,toa,दे,choi,zhoi2,tfrapper ,ffrapper ,frppr ,frakker ,flakkil 
küldeni,lähettää,στέλνω,отправлять,पादप्रहारकरोति,senden,telicza,mandar,inviare,envoyer,seol,hela ’,send,送,gửi,送る,보내다 ,རྡོག་རྒྱག་གཞུས,ส่ง ,mengirim,göndermek,tuma,भेजें,mo,mo2,tdonner un coup de pied,fdonner un coup de pied,dnnr n cp d pd,zonner un couk ze kiez,zonnil un pouk zi keiz
tedd,laittaa,βάζω,положить,घट्टते,stellen, xacualoa,poner,mettere,mettre,cuir,rho,put,放,đặt,置く,놓다,ཕུར་ཕུར་བཏང,นำ,menempatkan,koymak,weka,रखना,to,fo2,tfrotter ,ffrotter ,frttr ,frosser ,flossil 
elhagy,jättää,αφήνω,оставить,वर्तते,hinterlassen,cuepa,dejar,lasciare,laisser,fág,ymadaelith,leave,留,để,残す,두다 ,སྐོར,ปล่อย,meninggalkan,bırakmak,acha,छोड़,po,lo2,ttourner ,ftourner ,trnr ,sourner ,soulnil 
vedd,ottaa,παίρνω,брать,नुदति,nehmen, topehua,tomar,prendere,prendre,tóg,cymeran,take,拿取,đi,取る,가지다,སྦུད་རྒྱག་བཏང,ใช้,mengambil,almak,chua,लो,zo,co2,tpousser ,fpousser ,pssr ,koutter ,kouttil 
ellopni,varastaa,κλέβω,украсть,कर्षति,stehlen,tilana,robar,rubare,voler,goid,twgir,steal,偷竊,ăn cắp,盗む,훔치다,འཐེན,ขโมย ,mencuri,çalmak,iba,चोरी,zho,cho2,ttirer ,ftirer ,trr ,sirer ,selil 
találat,lyödä,χτυπάω,ударить,मृद्नाति,schlagen,patzoa,golpear,colpire,frapper,bualadh,thrawon,hit,打,đánh,打つ,때리다,མནན,ตี ,memukul,vurmak,piga,hit,fo,to2,tserrer ,fserrer ,srrr ,terrer ,tillil 
rúgás,potkaista,κλωτσάω,пинать,क्षलयति,treten,paca,patear,calciare,donner un coup de pied,ciceáil,wingid,kick,踢,đá,蹴る,차다,ཁྲུས,เตะ ,menendang,tekmelemek,piga teke,लात,lo,po2,tlaver ,flaver ,lvr ,laver ,ravil 
dörzsölés,hieroa,τρίβω,тереть,मार्ष्टि,reiben,pohpohua,frotar,strofinare,frotter,cuimil,rhwbiant,rub,摩擦,chà xát,擦る,비비다,ཕྱིས,ถู,menggosok,ovalamak,sugua,रगड़ना,co,zo2,tessuyer ,fessuyer ,ssyr ,ettuyer ,ittuyil 
fordulj,kääntyä,γυρίζω,превратить,लिखति,drehen,huahuana,girar,girare,tourner,cas,throia ’,turn,轉,quay,回る,돌다,སྦར་བྲད་བརྒྱབ,หัน,berbalik,çevirmek,geuka,फेरे,cho,zho2,tgratter ,fgratter ,grttr ,brasser ,blassil 
nyomd,työntää,σπρώχνω,толкать,कृन्तति,drücken,tlacotona,empujar,spingere,pousser,brúigh,gwthio,push,推,đẩy,押す,밀다,གཏུབ,ผลักดัน ,mendorong,itmek,shinikiza,धक्का,me,me2,tcouper ,fcouper ,cpr ,couker ,poukil 
húzd,vetää,τραβάω,тянуть,भिनत्ति,ziehen,xeloa,tirar,tirare,tirer,tarraing,thynnodd,pull,拉,kéo,引く,당기다,འགས,ดึง,menarik,çekmek,vuta,खींचो,te,fe2,tfendre,ffendre,fndr,fenzre,finzli
présel,puristaa,ζουλάω,сжимать,विधति,quetschen,mina,apretar,spremere,serrer,fáisc,gwasga,squeeze,擠,vắt,絞る,짜다,གྲི་འཛུགས,บีบ ,memeras,sıkmak,kamua,निचोड़,pe,le2,tpoignarder ,fpoignarder ,pgnrdr ,koibnarzer ,koebnalzil 
mos,pestä,πλένω,мыть,स्मयते,waschen,huetzca,lavar,lavare,laver,nigh,golchwyd,wash,洗滌,giặt,洗う,씻다,གད་མོ་ཤོར,ล้าง ,mencuci,yıkamak,osha,धो,ze,ce2,trire ,frire ,rr ,rire ,leli 
zuhany,käydä suihkussa,στο μπάνιο,к душу,रोदिति,duschen,choka,ducharse,fare la doccia,se doucher,tóg cith,gawod,shower,淋浴,tắm,浴びる,샤워에,ངུ,อาบน้ำ,mandi,duş almak,oga,बरसात,zhe,che2,tpleurer ,fpleurer ,plrr ,kleurer ,kriulil 
töröld,pyyhkiä,σκουπίζω,вытирать,दशति,wischen,tlancua,limpiar,pulire,essuyer,cuimil,fopi,wipe,擦拭,lau,拭く,닦다, རྨུག,เช็ด ,menghapus,silmek,ifuta,पोंछना,fe,te2,tmordre ,fmordre ,mrdr ,morzre ,molzli 
karcolás,raapia,ξύνω,царапать,धयति,kratzen,chichina,arañar,graffiare,gratter,tochais,cripia,scratch,抓,gãi,掻く,긁다,འཇིབ,เกา,menggaruk,kaşımak,anza,खरोंच,le,pe2,tsucer ,fsucer ,scr ,tucer ,tucil 
vágás,leikata,κόβω,резать,ष्ठीवति,schneiden,chihcha,cortar,tagliare,couper,gearr,lladdwch,cut,切割,cắt,切る,베다,ཀྱག,ตัด ,memotong,kesmek,kata,काटें,ce,ze2,tcracher ,fcracher ,crchr ,cracher ,plachil 
kapcsolatot,liittää,για να συνδεθείτε,для подключения,वमति,verbinden,ihzotla,para conectar,per connettere,connecter,ceangail,chysyllta ’,connect,連接,kết nối,繋げる,연결, སྐྱུག,เชื่อมต่อ,menghubungkan,bağlanmak,kuungana,कनेक्ट,che,zhe2,tvomir ,fvomir ,vmr ,vomir ,vomel 
bot,tarttua,να κολλήσει,чтобы остаться,वाति,zu kleben,pitza,pegarse,per rimanere,coller,greamaigh,sacho,stick,粘,dính,貼る,고집하려면,ཕུ་རྒྱག,ติด,tetap,yapışmak,kushikamana,स्टिक,mat,mat2,tsouffler ,fsouffler ,sfflr ,touffler ,touffril 
osztott,halkaista,χωρίζω,разделять,अनिति,spalten,ihiyotia,dividir,dividere,fendre,scoilt,holltiff,split,分開,chẻ,割る,가르다,དབུགས་རྒྱག,ผ่า,membagi,ayırmak,pasua,विभाजित,mit,mit2,trespirer ,frespirer ,rsprr ,retkirer ,litkelil 
szúr,pistää,μαχαιρώνω,колоть,कासते,stechen,tlatlaci,apuñalar,pugnalare,poignarder,sáigh,trywanent,stab,刺,đâm,刺す,찌르다 ,གློ་རྒྱག,แทง,menusuk,bıçaklamak,piga,छूरा भोंकना,tat,fat2,ttousser ,ftousser ,tssr ,soutter ,souttil 
nevetés,nauraa,γελώ,смеяться,विजिहीते,lachen,coccamachaloa,reír,ridere,rire,déan gáire,chwarddest,laugh,笑,cười,笑う,웃다,ཨ་སྟོང་རྒྱག,หัวเราะ,tertawa,gülmek,cheka,हँसो,tit,fit2,tbailler ,fbailler ,bllr ,gailler ,gaerril 
mosoly,hymyillä,να χαμογελάσει,улыбаться,क्षिपति,lächeln,tlaza,sonreír,sorridere,sourir,déan meangadh,gwener,smile,微笑,cười,微笑む,미소하는, གཡུགས,ยิ้ม,tersenyum,gülümsemek,kutabasamu,मुस्कान,pat,lat2,tlancer ,flancer ,lncr ,lancer ,rancil 
sírás,itkeä,κλαίω,плакать,खनति,weinen,tataca,llorar,piangere,pleurer,caoin,lefer,cry,哭,khóc,泣く,울다,རྐོ,ร้องไห้ ,menangis,ağlamak,lia,क्राई,pit,lit2,tcreuser ,fcreuser ,crsr ,creuter ,pliutil 
harapás,purra,δαγκώνω,кусать,बध्नाति,beißen,ilpia,morder,mordere,mordre,bain greim as,frathu,bite,咬,cắn,噛む,물다,བསྡམ,กัด ,menggigit,ısırmak,donoa,काटना,zat,cat2,tlier,flier,lr,lier,reil
szívás,imeä,ρουφώ,сосать,सीव्यति,saugen,ihtzoma,chupar,succhiare,sucer,súigh,sugno,suck,吮吸,mút,吸う,빨다,ཚེམ་བུ་རྒྱག,ดูด ,mengisap,emmek,amwa,चूस,zit,cit2,tcoudre ,fcoudre ,cdr ,couzre ,pouzli 
lenyelni,nielaista,να καταπιω,глотать,गणयति,schlucken,pohua,tragar,ingoiare,avaler,slog,lyncid,swallow,吞下,nuốt,呑み込む,삼키기 위해,གྲངས་ཀ་རྒྱག,กลืน,menelan,yutmak,kumeza,निगल,zhat,chat2,tcompter ,fcompter ,cmptr ,comkser ,pomksil 
nyárs,sylkeä,φτύνω,плевать,धरति,spucken,quentia,escupir,sputare,cracher,caith seile,poeron,spit,吐,nhổ,唾を吐く,뱉다,གོན,ถุย,meludah,tükürmek,tema,थूक,zhit,chit2,tporter,fporter,prtr,korser,kolsil
hányás,oksentaa,ξερνώ,рвать,उद्घाटयति,erbrechen,tlapoa,vomitar,vomitare,vomir,aisig,chwydo,vomit,嘔吐,nôn,吐く,게우다,ཁ་ཕྱེ,อ้วก,memuntah,kusmak,tapika,उल्टी,fat,tat2,touvrir,fouvrir,vrr,ouvrir,ouvlel
robbantani,puhaltaa,φυσάω,дуть,पिधानंकरोति,blasen,tzacua,soplar,soffiare,souffler,séid,chwytho,blow,吹,thổi,吹く,불다,ཁ་རྒྱག,พัด,meniup,üflemek,puliza,उड़ा,fit,tit2,tfermer,ffermer,frmr,fermer,filmil
lélegzik,hengittää,αναπνέω,дышать,आरभते,atmen,pehua,respirar,respirare,respirer,análaigh,anadlu,breathe,呼吸,thở,息をする,쉬다,འགོ་བཙུགས,หายใจ,bernapas,solumak,pumua,साँस,fut,tut2,tcommencer,fcommencer,cmmncr,commencer,pommincil
köhögés,yskiä,βήχω,кашлять,समापयति,husten,tlami,toser,tossire,tousser,déan casacht,pesychi,cough,咳,ho,咳く,깇다,ཚར,ไอ ,batuk,öksürmek,kohoa,खांसी,lat,pat2,tfinir,ffinir,fnr,finir,fenel
ásít,haukotuttaa,χάσκω,зевать,जहाति,gähnen,poloa,bostezar,sbadigliare,bâiller,déan méanfach,ddylyfodd,yawn,打哈欠,ngáp,欠伸する,하품하다,བརླགས,หาว ,menguap,esnemek,piga miayo,उबासी,lit,pit2,tperdre,fperdre,prdr,kerzre,kilzli
dobás,heittää,ρίχνω,бросать,मार्गति,werfen,tetemolia,tirar,gettare,lancer,caith,thaflech,throw,扔,ném,投げる,던지다,བཙལ,ขว้าง,melempar,atmak,rusha,throw,lut,put2,tchercher ,fchercher ,chrchr ,chercher ,chilchil 
fogás,ottaa kiinni,να πιάσω,ловить,विन्दति,fangen,namiqui,atrapar,catturare,attraper,beir ar,ddaliff,catch,捕捉,bắt,捕まえる,잡기 위해,བརྙེད,จับ,menangkap,yakalamak,kukamata,कैच,cat,zat2,ttrouver ,ftrouver ,trvr ,srouver ,slouvil 
ásni,kaivaa,σκάβω,копать,परिवर्तते,graben,patla,cavar,scavare,creuser,tochail,geibian,dig,挖掘,đào,掘る,파다 ,འགྱུར,ขุด,menggali,kazmak,lima,खुदाई,cit,zit2,tchanger ,fchanger ,chngr ,chanber ,chanbil 
döntetlen,sitoa,δένω,вязать,क्रीणाति,binden,cohua,atar,legare,lier,ceangail,clymi,tie,綁,buộc,結ぶ,매다,ཉོ,ผูก,mengikat,bağlamak,funga,टाई,cut,zut2,tacheter ,facheter ,chtr ,acheser ,achisil 
varrni,ommella,ράβω,шить,विक्रीणाति,nähen,namactia,coser,cucire,coudre,fuaigh,phwytho,sew,縫,may,縫う,깁다,འཚོང,เย็บ ,menjahit,dikmek,shona,सिलना,chat,zhat2,tvendre ,fvendre ,vndr ,venzre ,vinzli 
gróf,laskea,μετράω,считать,यतते,zählen,yeyecoa,contar,contare,compter,áirigh,cyfrifon,count,數,đếm,数える,세다,འབད,นับ ,menghitung,saymak,hesabu,गिनती,chit,zhit2,tessayer ,fessayer ,ssyr ,ettayer ,ittayil 
viselni,pitää,φοράω,носить,सृजति,anziehen,yocoya,vestir,indossare,porter,caith,threuliasant,wear,穿,mặc,着る,입다,བཟོ,ใส่,memakai,giymek,vaa,पहनें,chut,zhut2,tcréer ,fcréer ,crr ,créer ,pléil 
nyitva,avata,ανοίγω,открыть,भुनक्ति,öffnen,nequi,abrir,aprire,ouvrir,oscail,ymagorant,open,打開,mở,開く,열다,བེད་སྤྱོད་བྱེད,เปิด,membuka,açmak,fungua,खोलें,maut,maut2,tutiliser ,futiliser ,tlsr ,usiliter ,useretil 
közeli,sulkea,κλείνω,закрыть,नश्यति,schließen,xixinia,cerrar,chiudere,fermer,dún,chaewch,close,關閉,đóng,閉じる,닫다,གཏོར,ปิด,menutup,kapatmak,funga,बंद,taut,faut2,tdétruire ,fdétruire ,dtrr ,zésruire ,zéslueli 
kezdődik,aloittaa,αρχίζω,начать,हन्ति,beginnen,mictia,empezar,iniziare,commencer,tosaigh,ddechreuid,begin,開始,bắt đầu,始める,시작하다,བསད,เริ่มต้น,memulai,başlamak,anza,शुरू,paut,laut2,ttuer ,ftuer ,tr ,suer ,suil 
befejezés,loppetta,τελειώνω,закончить,म्रियते,beenden,miqui,terminar,finire,finir,críochnaigh,gorffen,finish,結束,hoàn thành,終える,끝나다,ཤི,ให้เสร็จ ,menyelesaikan,bitirmek,maliza,समाप्त,zaut,caut2,tmourir ,fmourir ,mrr ,mourir ,moulel 
veszíteni,kadottaa,χάνω,потерять,जीवति,verlieren,yolli,perder,perdere,perdre,caill,gollo,lose,失去,mất,失う,잃다,བསྡད,สูญเสีย,kehilangan,kaybetmek,poteza,खोना,zhaut,chaut2,tvivre ,fvivre ,vvr ,vivre ,vevli 
keres,etsiä,ψάχνω,искать,आशांकरोति,suchen,temiqui,buscar,cercare,chercher,cuardaigh,edrych am,look for,尋找,tìm kiếm,探す,찾다,རྨི་ལམ་བཏང,ค้นหา,mencari,aramak,tafuta,ढूंढें,faut,taut2,trêver ,frêver ,rvr ,rêver ,lêvil 
megtalálni,löytää,βρίσκω,найти,स्वपति,finden,cochi,encontrar,trovare,trouver,faigh,ffeindia,find,找到,tìm,見つける,찾다 ,གཉིད,ค้นหา,mencari,bulmak,tafuta,ढूँढें,laut,paut2,tdormir ,fdormir ,drmr ,zormir ,zolmel 
változások,muuttaa,αλλάζω,менять,बोधते,ändern,iza,cambiar,cambiare,changer,athraigh,cyfnewidia ’,change,改變,thay đổi,変える,바꾸다 ,གཉིད་སད,เปลี่ยน,mengubah,değiştirmek,badili,बदलें,caut,zaut2,tse réveiller ,fse réveiller ,s rvllr ,te réveiller ,ti lévierril 
megvásárolni,ostaa,αγοράζω,покупать,शेते,kaufen,colihui,comprar,comprare,acheter,ceannaigh,phrynu,buy,購買,mua,買う,구매하다,ཉལ,ซื้อ ,membeli,satın almak,nunua,ख़रीदे,chaut,zhaut2,ts'étendre,fs'étendre,s'tndr,t'ésenzre,t'ésinzli
fizetés,maksaa,να πληρώσω,платить,सीदति,bezahlen,mocequi,pagar,pagare,payer,íoc,rhoesom,pay,支付,trả,支払う,지불하기 위해,བསྡད,จ่าย,membayar,ödemek,lipa,अदा,moit,moit2,ts'asseoir ,fs'asseoir ,s'ssr ,t'atteoir ,t'attioel 
eladás,myydä,πουλάω,продавать,पर्यङ्कबध्नाति,verkaufen,xoloca,vender,vendere,vendre,díol,gwerthu,sell,售賣,bán,売る,팔다,པུས་ཙོག་རྒྱག,ขาย ,menjual,satmak,uza,बेचें,toit,foit2,ts'accroupir ,fs'accroupir ,s'ccrpr ,t'accroukir ,t'apploukel 
próbáld ki,yrittää,προσπαθώ,пытаться,नमति,versuchen,pechoa,intentar,provare,essayer,triail,clywasech,try,嘗試,thử,試す,시도하다,གུག་གུག་བྱེད་,ลอง ,mencoba,denemek,jaribu,कोशिश,poit,loit2,tse baisser ,fse baisser ,s bssr ,te gaitter ,ti gaettil 
készít,tehdä,κάνω,сделать,तिष्ठति,machen,ihcatoc,hacer,produrre,faire,déan,creu,make,製作,làm cho,作る,만들다,ལངས,ทำ,membuat,yapmak,tengeneza,मेक,zoit,coit2,tse tenir,fse tenir,s tnr,te senir,ti sinel
létrehozása,luoda,δημιουργώ,создавать,चरति,erschaffen,nehnemi,crear,creare,créer,cruthaigh,chrëid,create,創造,tạo,作成する,만들다 ,གོམ་པ་རྒྱག,สร้าง,membuat,yaratmak,unda,बनाएँ,zhoit,choit2,tmarcher ,fmarcher ,mrchr ,marcher ,malchil 
