be,"légy, leszünk, lennie, lennék, leszel","oltava, Tulen, olemaan, pian, voisi","Μπορεί, μπορούσε, είστε, ναι, γίνει","стать, должно, будут, будем, будешь","sollte, könnte, wäre, müssen, werde","seas, Debe, estaría, estará, debería","saranno, dovrebbe, sarà, deve, sara","serai, serait, pourrait, soit, peut-être","be, 成為, 肯定, 沒事, 回來","ổn, ngay, tốt, chứ, không_thể","しれ, はず, 大丈夫, べ, すぐ","be, 겁니다, 될, 해야, 괜찮","คงจะ, ไม่เป็นไร, ควรจะ, เดี๋ยว, น่าจะ","segera, seharusnya, baik-baik, Mungkin, pasti","olmalısın, olacaksın, olmayacak, olacağım, olurdu",y,"נהיה, יהיו, אהיה, אמור, בטח",y
think,y,y,"νομίζετε, σκεφτώ, Πιστεύεις, σκέφτεσαι, Λες","думают, подумать, Думаешь, Кажется, думаете","Denkst, Glaubst, glaubst, denkst, finde","piensas, piensa, pienso, cree, Crees","Credi, Pensi, pensa, credi, stia",y,"think, 粄, 谋, 我想, 我覺","Tớ, tớ, à, Cậu, Ông","考え, べ, 方, 本当, 気","think, 은데, 생각, 엔, 그렇게","คิดถึง, อย่างนั้น, น่าจะ, หรอ, ควร","Menurutku, Menurutmu, menurutmu, kupikir, pikirkan","düşünüyorsunuz, Galiba, düşün, sence, galiba","أتعتقد, تظنين, اظن, تفكر, تعتقدين","תחשוב, חשבת, חושבים, לחשוב, -אני","लगता, सोचते, सोचना, सोचने, खयाल"
consider,"tekintem, fontolóra, vennünk, figyelembe, tartom",y,"θεωρείτε, εξετάσει, Θεωρώ, εξετάσουμε, θεωρούν",y,"betrachte, erwägen, Erwägung, bedenken, Betracht",y,y,y,y,y,"検討, 考慮, 考え, よく, 性","고려, 봐야, 대해, 나요, 생각","พิจารณา, คิดดู, ถือว่า, ตัดสินใจ, คิดถึง",y,"düşünmeliyiz, düşünmelisin, düşüneceğim, hesaba, dikkate","نعتبر, اعتبر, الإعتبار, الاعتبار, بعين","לשקול, מחשיב, אשקול, תשקול, שתשקול","विचार, करें, मामला, तुलना, consider"
decide,"döntöm, eldöntöm, döntöd, döntenünk, döntened","päätän, päätät, päätettävä, päätätte, päättävät",y,"решаю, решу, решишь, решают, решите",y,"decidirlo, decidiré, decidas, decido, decidirá","deciderlo, deciderai, decidono, decido, decidi","décidez, décides, décident, décidera, décider",y,y,"決め, 決定, 決断, 決ま, 判断","결정, 정하, 결심, 할지, 선택",y,y,"veremiyorum, Karar, veremezsin, versin, veririz","تقرر, أقرر, نقرر, تقرري, لتقرر","להחליט, אחליט, תחליט, נחליט, מחליטים","तय, फैसला, निर्णय, चीज, करूंगा"
choose,"válasszak, választania, válasszon, választanod, választom","Valitsen, valitsen, valitsisi, valittava, valitset","επιλέγω, επιλέξετε, επιλέγουμε, επιλέξεις, επιλέγουν",y,y,"elijo, elegiría, eligen, elija, eliges","scelgo, scelgono, scelga, scegli, sceglie",y,y,y,"選, ぶ, 選べ, 選択, どちら","선택, 고르, 고를, 택하, 결정","เลือก, ใช้ชีวิต, ข้าง, ระหว่าง, ดังนั้น",y,"seçiyorum, seçebilirsin, seçmedim, seçersen, seçerim","تختار, نختار, أختار, يختارون, تختاري","בוחר, בוחרים, בוחרת, אבחר, שתבחר","चुन, चयन, चुनते, चुनने, महल"
feel,"Érzem, érezd, érez, érzel, érzek","olosi, oloni, Tunnetko, tuntemaan, tunnu","νοιώθω, Αισθάνομαι, νιώσω, νιώσεις, αισθάνεσαι",y,y,"sienten, sentirme, sentirse, sientas, sienta",y,y,y,y,"感, 感じ, 気分, 気持ち, じ","기분, 느끼, 느낌, feel, 느껴","รู้สึก, ไม่รู้สึก, ความรู้สึก, ดีขึ้น, อย่างไร","merasakannya, feel, rasakan, perasaanmu, merasakan",y,"تشعري, نشعر, يشعرون, شعورك, بالسوء","תרגישי, תרגיש, מרגישים, ההרגשה, הרגשתי",y
see,"meglátjuk, Látni, látsz, lássuk, lássam","nähdään, Näitkö, Näetkö, Mukava, Näen","βλέπετε, Βλέπω, δουν, είδες, Βλέπεις","Посмотрим, увидимся, увижу, увидишь, видите","Siehst, Sehen, siehst, verstehe, sehe","Veamos, Veo, verás, veremos, Ves","Vedo, vedermi, vederla, Capisco, Vediamo","verra, Voyons, voyez, voit, revoir",y,y,"会え, 見え, 見せ, 会, また","see, 볼, 보여, 보이, 만나","มาดู, ไม่เห็น, ไปดู, เจอกัน, ดีใจ","jumpa, menemui, kulihat, Senang, melihatmu","görüyorsun, gördüğüme, görebiliyorum, Gördün, göremiyorum","سنرى, لرؤيتك, سأراك, أترى, ترين","נתראה, רואים, אראה, ראית, לפגוש","देख, देखने, देखते, देखना, देखेंगे"
hear,"hallak, Hallani, Sajnálattal, halljuk, halljam","kuulette, Kuuletteko, kuuletko, kuulevat, Kuulitteko","Ακούς, Ακούω, ακούσουν, ακούσουμε, ακούσατε","Слышишь, слышит, слышите, Слышал, послушать","Hörst, hörst, höre, Hört, hörte","oírte, escucharlo, oir, Oíste, oírlo",y,"entendez, entend, entends, écouter, nouvelles","聽到, hear, 聽見, 钮, 不見",y,"聞こえ, 聞, 聴, 音, 聞け","듣, 들려, 들리, 들려요, hear","ได้ยิน, ไม่ได้ยิน, อยากได้ยิน, เสียง, ดีใจ","mendengarmu, mendengarku, mendengarnya, hear, Kudengar","Duydunuz, duyabiliyorum, Duymak, Duyuyor, duyamıyorum","أتسمعني, سماعها, أسمعه, أسمعك, سماعك","שמעתם, שומעים, שומעת, תשמע, שומע",y
touch,y,y,y,"трогай, потрогать, прикасайся, прикоснуться, прикасаться",y,"tocarte, tocarlo, tocarla, tacto, tocarme","toccarlo, toccarmi, toccarla, tocco, toccarti",y,"碰, 窱, 摸, touch, 聯絡",y,"触, 触れ, 連絡, さわ, タッチ","만지, 손대, 건드리, 연락, touch","แตะ, แตะต้อง, สัมผัส, ติดต่อไป, แตะต้องอะไร",y,"dokunuş, dokunamazsın, dokun, dokunamaz, dokunayım","لمسة, تلمس, تلمسني, تلمسه, تلمسي","לגעת, תיגע, תגעי, אגע, תיגעי","छू, छुओ, छूने, संपर्क, छूना"
smell,"szag, illatod, szagát, szagod, szagot",y,y,"запах, пахнешь, Запах, чую, запаха",y,"olor, Hueles, hueles, huelo, Huelo","odore, Puzzi, olfatto, annusare, puzzi","odeur, odorat, sentent, sentez, pue",y,y,"匂い, 臭い, 臭, におい, 香り","냄새, 맡, smell, 향기, 향",y,y,"kokuyorsun, koku, Kokuyu, Kokusunu, kokusunu",y,y,"गंध, आ, बू, बदबू, सूंघ"
taste,y,y,"γεύση, γούστο, γευτώ, γευτείς, γούστου","вкус, вкуса, вкусом, Вкус, вкусу",y,"saborear, gustos, sabor, probarlo, gusto",y,y,y,y,"味, 趣味, 味わ, 味見, 味覚","맛, 취향, 맛보, 맛있, taste","รสชาติ, รสนิยม, ลิ้มรส, รส, ชิม","selera, mencicipi, mencicipinya, seleraku, merasakannya","tadına, tat, Tadına, tadı, zevkin","ذوق, طعم, تذوق, مذاق, الذوق",y,y
say,"mondj, mondjak, mondanám, mondasz, mondjuk","sanottavaa, Sanotaan, sanoisi, sanoisin, sanovat","Λένε, λέτε, πείτε, πες, έλεγα","говори, говорите, скажешь, скажи, говорят","sagst, sag, Sag, sage, sagt","Dicen, decirlo, diría, digas, diga","direi, dicono, dirlo, dica, dirti","dirais, disent, dites, dis, Ne","say, 「, 弧, 這麼, 怎么","bảo, vừa, lời, :, Đừng","言え, え, なん, なんて, そんな","say, 인사, 말씀, 아무, 그렇게","พูดว่า, คำ, แบบนั้น, บ้าง, บอกว่า","dikatakan, mengatakannya, mengucapkan, kukatakan, kata","diyebilirim, söylüyorlar, derler, demedim, diyelim","نقول, تقولي, تقولين, تقوله, سأقول","נגיד, תגידי, אגיד, אומרים, אמרה",y
know,"ismerem, Honnan, tudják, tudsz, mire","tiedämme, Tiedät, tunne, tiedät, tiennyt","ξέρουν, Ξέρετε, ξέρετε, ξέρουμε, ήξερα","Откуда, Знаю, знают, Знаете, знала","Woher, Wissen, kenne, kennen, Ahnung","conoces, Sabe, conozco, saben, sabemos","saperlo, conosco, sappiamo, sapevo, So",y,"know, 清楚, 認識, 懂, 明白","Tớ, thế_nào, hiểu, Con, Cậu","分, なぜ, どこ, あの, わか","know, 몰라, 인지, 뭘, 모르","ไม่รู้จัก, รู้เรื่อง, อยากรู้, รู้จัก, เกี่ยวกับ","Entahlah, kenal, tau, kenapa, bahkan","tanıyorum, tanıyor, Bilmem, Bilirsin, Biliyorsun","أتعلمين, تعلمون, نعلم, أتعرف, أدري","מכירה, מכיר, ידעתי, יודעים, לדעת","पता, जानते, जानता, जानती, जानना"
learn,"tanulj, tanulnunk, megtanulod, tanultad, tanulnak","opi, opittavaa, opittava, oppimaan, opetella","μαθαίνουν, μαθαίνεις, μάθετε, έμαθες, μάθουν","научиться, учись, научишься, выучить, научится",y,"aprenderás, aprendas, aprendes, aprenden, aprenda",y,y,y,y,"学, ぶ, 習, 学べ, 勉強","배우, 배울, 배워야, 배웠, 법","เรียนรู้, เรียนรู้ที่จะ, เรียน, หัด, บทเรียน",y,"öğrenebilirsin, öğrenmelisin, öğrenirsin, öğreniyorsun, öğreneceksin","تتعلم, ستتعلم, تتعلمي, للتعلم, نتعلم","וללמוד, ילמדו, תלמדי, נלמד, תלמד",y
teach,"Megtanítalak, taníts, megtanítalak, tanítok, Megtanítom",y,"διδάξεις, διδάξω, Διδάσκω, διδάσκουν, διδάσκεις","научить, научу, научит, научишь, преподаю",y,"enseñará, enseñas, enseñan, enseñarles, enseñe","insegnarti, insegni, insegnerò, insegnero, Insegno",y,y,y,"教え, 教わ, 習, 教師, 先生","가르쳐, 가르치, 가르칠, 법, teach",y,y,"öğretirim, öğreteceğim, öğretebilirim, öğretir, öğretecek","يعلمك, تعلمني, تعليمك, سأعلمك, اعلمك",y,y
repeat,"Ismétlem, ismétlem, Megismétlem, ismételje, ismételd",y,y,y,y,y,y,y,"重, 複, 一遍, 我重, 復",y,"繰り返, 度, 繰り返し, 撤退, 押","반복, 한다, 다시, 응답, 따라",y,y,"Tekrarlıyorum, tekrarla, tekrarlıyorum, tekrarlayın, tekrarlayabilir","أكرر, تكرار, اكرر, أكرّر, تكرر","חזור, ולחזור, שנית, שאחזור, חוזר","फिर, कहता, मत, Hatch, खोलना"
be used to,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
continue,"folytassa, Folytassuk, folytassák, Folytatjuk, folytatják","jatkakaa, jatkossakin, jatkatte, jatkuvat, jatkavat","συνεχίστε, συνεχίζουν, συνεχίσετε, συνεχίσουν, συνεχίζουμε","Продолжим, продолжайте, продолжите, продолжим, продолжить",y,"Continuaremos, continúe, continuará, continuamos, continúan","Continueremo, continuerà, Continuiamo, continueremo, continuera","continuera, continuent, continuez, Continuez, poursuivre",y,y,"続け, 継続, 続, 続行, まま","계속, 지속, 진행, 앞, 며","ต่อไป, ดำเนินต่อไป, ดำเนินการ, ยังคง, ต่อ",y,"etmesine, yaşamaya, edebiliriz, Devam, etmeliyiz","سنكمل, سأستمر, سنستمر, نواصل, تكمل","ימשיכו, שנמשיך, תמשיכו, ימשיך, אמשיך","जारी, रहेगा, रखने, रख, सड़ता"
ask,"Megkérdezhetem, kérdezd, kérdezz, kérdeznem, megkérdezem","kysytään, kysymään, kysyt, kysy, kysynyt","ρώτα, ρωτήσουμε, ζητήσεις, ρωτήσεις, ζητώ","спрашивай, спроси, спрашиваешь, спрошу, попрошу","frag, Frag, fragst, bitten, frage","preguntaré, preguntes, pregunte, pedirte, pedirle","chiedero, chiederlo, chieda, chiederle, chiedermi",y,"問問, ask, 能問, 我想問, 再問",y,"尋ね, 訊, 誘, 求め, 頼","물, 묻, 물어볼, 부탁, 물어봐도","ถาม, ถามอะไร, ชวน, ขอให้, ขอร้อง","tanyakan, memintanya, tanya, memintamu, menanyakan","sorarsan, sordun, istemek, sorayım, sorma","نسأل, اسأل, اسألك, سأطلب, تسألني","תשאלי, מבקשים, אבקש, שואלים, תשאל",y
answer,"válaszod, válaszom, válaszoljak, válaszolsz, válaszolj","vastauksesi, vastaukseni, Vastaus, vastaus, Vastaan","απάντησή, απαντήσετε, απαντάει, απάντησες, απαντάς","Ответ, отвечай, ответишь, ответь, ответит",y,"contestes, respondas, contestas, respondes, conteste","rispondo, risponda, rispondi, Rispondi, risponde","répondez, réponds, répond, solution, réponse","答案, 回答, 氮, answer, 不接",y,"答え, 返事, ノー, 回答, イエス","대답, 답, 답변, 해답, answer","คำตอบ, ตอบ, ตอบคำถาม, คำตอบที่, รับสาย","jawaban, jawabannya, menjawabnya, Jawabannya, Jawaban","Cevabım, Cevabı, cevabın, cevabım, Cevap",y,"התשובה, אענה, תעני, תשובה, ענית",y
draw,y,y,"ζωγραφίσω, ισοπαλία, ζωγραφίσεις, ζωγραφίζεις, ζωγραφίζω",y,y,y,y,y,"畫畫, 礶, 引開, 平手, 你畫",y,"描, 絵, 描け, 引きつけ, 引き分け","그리, 끌, 유인, 그려, 뽑",y,y,y,"أرسم, ارسم, ترسم, يرسم, رسمت",y,"आकर्षित, ड्रा, खोलें, प्रिय, ओर"
write,y,"Kirjoititko, kirjoittavat, kirjoita, kirjoittamaan, kirjoitat","γράψε, γράψετε, γράψουμε, Γράφω, γράφουν","напишу, пишешь, пишут, пишу, записать",y,"escribirlo, escribas, escribirle, escribiré, escriben","scriverò, scriverlo, scrivero, scriva, scrivi",y,y,y,"書, 書け, 書き留め, 小説, 手紙","쓰, 글, 쓸, 써, 편지","เขียน, เขียนหนังสือ, จด, write, เขียนจดหมาย",y,"yazabilirsin, yazabilir, yazmadım, yazabilirim, yazacaksın","سأكتب, تكتبي, يكتبون, نكتب, لكتابة","אכתוב, שאכתוב, ולכתוב, תכתבי, תכתוב",y
read,"olvasd, Olvasta, Olvastad, Elolvastam, elolvasni","Luit, luit, lukeneet, Luitko, luen","διαβάσουμε, διαβάσετε, λαμβάνεις, διαβάζουν, διάβασες","прочесть, прочла, прочел, читали, почитать",y,"leeré, leas, leíste, leerlo, lea","legga, leggerlo, leggo, leggi, giornali",y,y,y,"読, 読め, 新聞, 聞こえ, 記事","읽, read, 책, 글, 신문","อ่าน, อ่านหนังสือ, อ่านมัน, เคยอ่าน, อ่านใจ",y,"okuyabilir, okudunuz, okumadım, okumam, okurum","قراءتها, قرأتها, قرأته, قرأتُ, لقراءة","להקריא, שקראתי, אקרא, קראת, תקרא",y
eat,"Együnk, enned, edd, megeszem, ennem","syötävä, Syödään, Syön, syödään, syötävää","φάε, τρώτε, φάτε, φάνε, τρώμε","съешь, поедим, съем, едим, едят","iss, fressen, esse, isst, gegessen","comas, comeré, comemos, comes, comen","Mangiamo, mangiarlo, mangiate, mangiamo, mangiano","mangez, mangent, manges, bouffer, mange",y,y,"食べ, 食, 食事, 食え, 食べ物","먹, 밥, 잡아먹, 식사, 음식","กิน, ต้องกิน, กินกัน, ทาน, กินข้าว","memakannya, makanlah, dimakan, memakanmu, memakan","yemelisin, yiyebilirim, yiyebilir, yemem, yiyin","لنأكل, تأكلي, أكله, تأكلين, للأكل","יאכל, ולאכול, תאכלי, תאכל, נאכל",y
drink,"idd, itallal, igyon, isznak, iszok","drinkki, ryyppy, juoma, ryypyn, paukku","πιες, πιείς, πιείτε, πίνουμε, πίνουν","пей, напиток, выпей, пьют, пьешь","Drink, trink, trinke, trinkst, Trinken","bebas, beben, bebo, bebes, bebido","Beviamo, beviamo, bevi, bevo, beve","buvez, boisson, boit, Bois, bu",y,y,"飲, 酒, 飲み物, 一杯, 飲め","술, 마시, 한잔, 마실, 잔","ดื่ม, เครื่องดื่ม, มาดื่ม, ต้องดื่ม, เหล้า",y,"İçecek, içkiye, içkiyi, içerim, içmem","شراباً, تشربي, شرابا, سأشرب, مشروباً","המשקה, למשקה, תשתי, ולשתות, תשתה","पीने, पीते, जाम, पीना, ड्रिंक"
have,"sincs, lett, Meg, Nincs, más","teillä, Sinulla, pitänyt, voinut, meillä","Έχουμε, έχετε, Έχεις, χρειάζεται, ιδέα","придется, времени, должна, мог, них","sollen, musst, hätte, Zeit, hab","habría, hubiera, tienen, Tenemos, Tienes","Dobbiamo, dobbiamo, Devo, avrei, dovuto","dû, pu, aurait, aurais, avons","have, 必須, 一定, 時間, 應該","Ta, khác, Chúng_ta, chưa, bạn","けれ, べ, 持, 無, 時間","have, 어야, 가지, 해야, 돼","ไม่ต้อง, น่าจะ, ควร, อาจจะ, เวลา","seharusnya, pasti, masalah, Kamu, anak","zorundayım, sahip, olmalı, gereken, gerekiyor","لديهم, لديّ, لابد, عليّ, فكرة","חייבים, חייבת, מושג, לכם, לקבל",y
hold,"tarts, fogni, tartsa, tartsd, várjon","pidellä, pidätellä, Pitele, kädestä, pitämään",y,"подержать, держись, удержать, держи, погоди","festhalten, halt, halte, hält, warte",y,"tenerlo, attesa, fermo, tieni, linea",y,"hold, 不住, 抱, 撐, 堅持",y,"抱きしめ, 抱, 押さえ, 握, しっかり","hold, 잡, 잠깐, 기다려, 붙잡","ถือ, hold, ถือสาย, กอด, จับมือ","hold, menahannya, pegang, tahan, menahan","tutabilir, dayan, tutar, durun, bekleyin","تمسك, تمهل, أمسك, الإنتظار, عقد","אחזיק, בהמתנה, להיאחז, יחזיק, להמתין","पकड़, रुको, आयोजन, धारण, पकड़ो"
bring,"hozzon, hoztad, hozzák, hozz, hoztál","tuokaa, Toitko, tuot, tuovat, tuomaan",y,y,"mitbringen, mitgebracht, bringst, bring, bringe","traerá, traen, traerlo, traerme, trajiste",y,y,"bring, 帶來, 盿, 進來, 送","mang, đem, trở_lại, bắt, xuống","連れ, もたら, 連れ戻, 運, くる","데려오, bring, 가져오, 가져다, 가져왔",y,"bawakan, membawakan, membawamu, bawa, membawanya","getiririm, getirebilir, getirecek, getirdin, getireceğim","لجلب, يجلب, تجلب, أجلب, إحضار","ולהביא, מביאים, נביא, תביאי, יביא","लाने, लाना, ला, लाये, आओ"
get,"mennem, Majd, El, oda, innen","Haen, sait, hakemaan, saamme, pääse","φέρω, πάρουμε, φύγουμε, πάρεις, πάρει",y,y,"entiendo, conseguir, llegar, volver, Voy","capisco, uscire, Dobbiamo, tornare, prendere","chercher, sortir, prendre, Comment, eu","get, 得到, 出去, 拿, 離開","nhận, quay, hiểu, lấy, đưa","取, 入れ, 入, 手, すぐ","get, 얻, 빨리, 나가, 다시","เข้าใจ, ได้รับ, เข้าไป, พา, กลับมา","mendapatkannya, dapatkan, mendapat, Mari, mengerti","aldın, Buradan, nereden, al, git","نحصل, للحصول, أحصل, تحصل, الخروج","להוציא, להיכנס, להשיג, מקבל, להביא","मिलता, पाने, निकलना, प्राप्त, मिलेगा"
