concept_id,column,old,new,source
335,Hebrew,מעוקל,מְעֻקָּל,vocalize
338,Arabic,سلس,نَاعِم,vocalize
338,Hebrew,חלק,חֵלֶק,vocalize
346,Arabic,الأمر الواضح,وَاضِح,vocalize
346,Hebrew,ברור,בָּרוּר,vocalize
347,Arabic,عكر,عَكِر,vocalize
347,Hebrew,עגום,עָכוּר,vocalize
352,Arabic,أنها ثقيلة,ثَقِيل,vocalize
352,Hebrew,כבד,כָּבֵד,vocalize
354,Arabic,إنها صغيرة,صَغِير,vocalize
354,Hebrew,קטן,קָטָן,vocalize
355,Arabic,انه طويل,طَوِيل,vocalize
355,Hebrew,ארוך,אָרֹךְ,vocalize
364,Arabic,انها على ما يرام,دَقِيق,vocalize
364,Hebrew,בסדר,דַּק,vocalize
365,Arabic,هو طويل القامة,طَوِيلُ القَامَة,vocalize
365,Hebrew,גבוה,גָבוֹהַ,vocalize
367,Arabic,أنها عالية,عَالٍ,vocalize
367,Hebrew,גבוה,גָבוֹהַ,vocalize
368,Arabic,أنها منخفضة,مُنْخَفِض,vocalize
368,Hebrew,נמוך,נָמוּךְ,vocalize
372,Arabic,انه قريب,قَرِيب,vocalize
372,Hebrew,קרוב,קָרוֹב,vocalize
373,Arabic,انه صعب,صُلْب,vocalize
373,Hebrew,קשה,קָשֶׁה,vocalize
374,Arabic,انها ناعمة,نَاعِم,vocalize
374,Hebrew,רך,רַךְ,vocalize
376,Arabic,انه مبلل,مُبَلَّل,vocalize
376,Hebrew,רטוב,רָטֹב,vocalize
378,Arabic,الجو حار,حَارّ,vocalize
378,Hebrew,חם,חָם,vocalize
379,Arabic,انه دافئ,دَافِئ,vocalize
379,Hebrew,חמים,חָמִים,vocalize
383,Arabic,مرير,مُرّ,vocalize
383,Hebrew,מריר,מָרִיר,vocalize
384,Arabic,لطيف,حُلْو,vocalize
384,Hebrew,מתוק,מָתוֹק,vocalize
389,Arabic,انه ممتلىء,مُمْتَلِئ,vocalize
389,Hebrew,מלא,מִלָּא,vocalize
391,Arabic,انه كامل,كَامِل,vocalize
391,Hebrew,שלם,שָׁלֵם,vocalize
394,Arabic,إنها صعبة,صَعْب,vocalize
394,Hebrew,קשה,קָשֶׁה,vocalize
395,Arabic,إنها سهلة,سَهْل,vocalize
395,Hebrew,קל,קַל,vocalize
397,Arabic,أنه لأمر محزن,حَزِين,vocalize
397,Hebrew,עצוב,עָצוּב,vocalize
398,Arabic,هو سعيد,سَعِيد,vocalize
398,Hebrew,שמח,שָׂמֵחַ,vocalize
401,Arabic,أمر مثير للاشمئزاز,مُشْمَئِزّ,vocalize
401,Hebrew,נגעל,נִגְעַל,vocalize
402,Arabic,فوجئ,مُتَفَاجِئ,vocalize
402,Hebrew,מופתע,מֻפְתָּע,vocalize
403,Arabic,يخجل,خَجِل,vocalize
403,Hebrew,מתבייש,מִתְבַּיֵּשׁ,vocalize
407,Arabic,انه مضحك,مُضْحِك,vocalize
407,Hebrew,מצחיק,מַצְחִיק,vocalize
408,Arabic,مثير للاهتمام,مُثِير لِلاِهْتِمَام,vocalize
408,Hebrew,מעניין,מְעַנְיֵן,vocalize
410,Arabic,هذا غريب,غَرِيب,vocalize
410,Hebrew,מוזר,מוּזָר,vocalize
412,Arabic,أنه شائع,شَائِع,vocalize
412,Hebrew,נפוץ,נָפוֹץ,vocalize
413,Arabic,فمن النادر,نَادِر,vocalize
413,Hebrew,נדיר,נָדִיר,vocalize
415,Arabic,انه جميل,جَمِيل,vocalize
415,Hebrew,יפה,יָפֶה,vocalize
418,Arabic,بريىء,بَرِيء,vocalize
418,Hebrew,חף מפשע,חַף מִפֶּשַׁע,vocalize
420,Arabic,أنه أمر خطير,خَطِير,vocalize
420,Hebrew,מסוכן,מְסֻכָּן,vocalize
424,Arabic,خجول,خَجُول,vocalize
424,Hebrew,נחבא אל הכלים,בַּיְשָׁן,vocalize
429,Arabic,متكل,مُعْتَمِد,vocalize
429,Hebrew,תלוי,תָּלוּי,vocalize
430,Arabic,عارية,عَارٍ,vocalize
430,Hebrew,עֵירוֹם,עֵירֹם,vocalize
431,Arabic,عارية,عَارٍ,vocalize
438,Arabic,تأكيد,مُؤَكَّد,vocalize
438,Hebrew,מסוים,וַדָּאִי,vocalize
442,Arabic,حتى,حَتَى,vocalize
442,Hebrew,אֲפִילוּ,אֲפִלּוּ,vocalize
444,Arabic,مزدوج,مُزْدَوَج,vocalize
444,Hebrew,לְהַכפִּיל,כָּפוּל,vocalize
445,Arabic,انه جيد,جَيِّد,vocalize
445,Hebrew,טוב,טוֹב,vocalize
446,Arabic,سيء,سَيِّئ,vocalize
446,Hebrew,רע,רַע,vocalize
447,Arabic,هذا صحيح,صَحِيح,vocalize
447,Hebrew,נכון,נָכוֹן,vocalize
448,Arabic,انه خطأ,خَاطِئ,vocalize
448,Hebrew,לא נכון,לֹא נָכוֹן,vocalize
449,Arabic,هذا صحيح,صَحِيح,vocalize
449,Hebrew,נכון,נָכוֹן,vocalize
450,Arabic,انها كاذبة,خَاطِئ,vocalize
450,Hebrew,שגוי,שָׁגוּי,vocalize
452,Arabic,انه قديم,قَدِيم,vocalize
452,Hebrew,זקן,זָקָן,vocalize
453,Arabic,انه قديم,قَدِيم,vocalize
453,Hebrew,זקן,זָקָן,vocalize
455,Arabic,انه قوي,قَوِيّ,vocalize
455,Hebrew,חזק,חָזָק,vocalize
457,Arabic,انه مريض,مَرِيض,vocalize
457,Hebrew,חולה,חוֹלֶה,vocalize
459,Arabic,هذا هو نفسه,نَفْس,vocalize
459,Hebrew,אותו הדבר,זֵהֶה,vocalize
460,Arabic,متساوي,مُتَسَاوٍ,vocalize
460,Hebrew,שווה,שָׁוֶה,vocalize
462,Arabic,انه مختلف,مُخْتَلِف,vocalize
462,Hebrew,שונה,שׁוֹנֶה,vocalize
463,Arabic,انه سريع,سَرِيع,vocalize
463,Hebrew,מהר,מָהִיר,vocalize
465,Arabic,إن الوقت مبكر,مُبَكِّر,vocalize
465,Hebrew,מוקדם,מֻקְדָּם,vocalize
474,Arabic,انه غالي,غَالٍ,vocalize
474,Hebrew,יקר,יָקָר,vocalize
479,Arabic,خمول,خَامِل,vocalize
479,Hebrew,סרק,סֵרֵק,vocalize
480,Arabic,أنها مزدحمة,مُزْدَحِم,vocalize
480,Hebrew,צפוף,צָפוּף,vocalize
484,Arabic,صم,أَصَمّ,vocalize
484,Hebrew,חירש,חֵירֵשׁ,vocalize
487,Arabic,جائع - إنها جائعة,جَائِع,vocalize
487,Hebrew,הוא רעב,הוּא רָעֵב,vocalize
490,Arabic,كسول,كَسُول,vocalize
490,Hebrew,עצלן,עַצְלָן,vocalize
493,Arabic,من الضروري,ضَرُورِيّ,vocalize
493,Hebrew,נחוץ,נָחוּץ,vocalize
495,Arabic,تطوعي,طَوْعِيّ,vocalize
495,Hebrew,מִרָצוֹן,רְצוֹנִי,vocalize
506,Arabic,عارض,غَيْرُ رَسْمِيّ,vocalize
506,Hebrew,אַגָבִי,אַגָּבִי,vocalize
507,Arabic,مقتصد,مُقْتَصِد,vocalize
507,Hebrew,חסכן,חַסְכָן,vocalize
508,Arabic,عاقل,عَاقِل,vocalize
508,Hebrew,שָׁפוּי בְּדַעתוֹ,שָׁפוּי,vocalize
521,Arabic,في احسن الاحوال,مِثَالِيّ,vocalize
521,Hebrew,מושלם,מֻשְׁלָם,vocalize
524,Arabic,انه اسود,أَسْوَد,vocalize
524,Hebrew,שחור,שָׁחֹר,vocalize
525,Arabic,انه ابيض,أَبْيَض,vocalize
525,Hebrew,לבן,לָבָן,vocalize
526,Arabic,انه أحمر,أَحْمَر,vocalize
526,Hebrew,אדום,אָדוֹם,vocalize
527,Arabic,إنها برتقالة,بُرْتُقَالِيّ,vocalize
527,Hebrew,כתום,כָּתֹם,vocalize
529,Arabic,انه اخضر,أَخْضَر,vocalize
529,Hebrew,ירוק,יָרֹק,vocalize
530,Arabic,انه ازرق,أَزْرَق,vocalize
530,Hebrew,כחול,כָּחוֹל,vocalize
532,Arabic,فمن الوردي,وَرْدِيّ,vocalize
532,Hebrew,ורוד,וָרֹד,vocalize
533,Arabic,انه بني,بُنِّيّ,vocalize
533,Hebrew,האם חום,הַאִם חוּם,vocalize
542,Arabic,هو - هي,هُوَ / هِيَ,vocalize
542,Hebrew,זה,זֶה,vocalize
550,Arabic,من الذى,مَنْ,vocalize
551,Arabic,ماذا او ما,مَاذَا / مَا,vocalize
551,Hebrew,מה,מָה,vocalize
557,Arabic,كم عدد,كَمْ,vocalize
557,Hebrew,כמה,כַּמָּה,vocalize
559,Arabic,ليس,لَيْسَ,vocalize
560,Arabic,الكل,كُلّ,vocalize
560,Hebrew,את כל,אֶת כָּל,vocalize
569,Arabic,عظم,عَظْم,vocalize
569,Hebrew,רוב,רֹב,vocalize
576,Arabic,اثنين,اِثْنَانِ / اِثْنَتَانِ,vocalize
576,Hebrew,שתיים,שְׁנַיִם / שְׁתַּיִם,vocalize
585,Arabic,مائة,مِائَة,vocalize
598,Arabic,يحشد,حَشْد,vocalize
621,Arabic,الأخ الأكبر,أَخٌ أَكْبَر,vocalize
621,Hebrew,אח גדול,אָח גָּדוֹל,vocalize
622,Arabic,الأخ الأصغر,أَخٌ أَصْغَر,vocalize
622,Hebrew,אח קטן,אָח קָטָן,vocalize
626,Arabic,ابنه قانونياً,صِهْر,vocalize
626,Hebrew,בן חורג,בֵּן חוֹרֵג,vocalize
629,Arabic,أخت الزوج أو اخت الزوجة,أُخْتُ الزَّوْجِ / أُخْتُ الزَّوْجَةِ,vocalize
629,Hebrew,גיסה,גִּיסָה,vocalize
631,Arabic,"حماة "" أم الزوج أو أم الزوجة",حَمَاة,vocalize
631,Hebrew,חותנת,חוֹתֶנֶת,vocalize
632,Arabic,الآباء في القانون,وَالِدَا الزَّوْجِ / وَالِدَا الزَّوْجَةِ,vocalize
632,Hebrew,מחותנים,חָם וְחָמוֹת,vocalize
638,Arabic,ولد عم,اِبْنُ العَمّ,vocalize
638,Hebrew,בת דודה,בַּת דּוֹדָה,vocalize
643,Arabic,دكتور بيطري,طَبِيب بَيْطَرِيّ,vocalize
643,Hebrew,וטרינר,וֵטֵרִינָר,vocalize
645,Arabic,الحيوان الثديي,ثَدْيِيّ,vocalize
645,Hebrew,יונק,יוֹנֵק,vocalize
662,Arabic,الدب القطبي,دُبّ قُطْبِيّ,vocalize
662,Hebrew,דוב קוטב,דֹּב קֹטֶב,vocalize
668,Arabic,الحمار الوحشي,حِمَار وَحْشِيّ,vocalize
668,Hebrew,זֶבּרָה,זֶבְּרָה,vocalize
682,Arabic,أوزة,إِوَزَّة,vocalize
682,Hebrew,אווז,אֲוָז,vocalize
685,Arabic,العقعق,العَقْعَق,vocalize
685,Hebrew,עוֹרֵב הַנְחָלִים,עַקְעָק,vocalize
